,Job Title,Skills
16,Information Technology - Cyber Security Engineer (Threat Management and Incident Response),"Enthusiasm,Certified Information System Auditor (CISA),Unix,Cyber Security,Certified Ethical Hacker,Digital Assets,Splunk,GIAC Certifications,GIAC Certified Incident Handler,Positivity,Active Directory,Certified Information Systems Security Professional,Cyber Threat Intelligence,Security Investigations,Presentations,Writing,Endpoint Detection And Response,Cyber Incident Response,Forensic Sciences,Vulnerability"
17,Cybersecurity Analyst,"Cyber Threat Hunting,Network Infrastructure,Vulnerability Assessments,Penetration Testing,Security Information And Event Management (SIEM),Cyber Security,Certified Information Systems Security Professional,ITIL Certifications,Endpoint Detection And Response,Vulnerability,Management"
18,Information Security Analyst - fintech,"Business Continuity,Gap Analysis,Digital Banking,Due Diligence,Incident Response,Cyber Security,Cyber Risk,Risk Control,Business Process,Financial Technology (FinTech),Business Continuity Planning,Risk Analysis,Certified Financial Risk Management,Banking,Operational Risk Management,Risk Awareness,Emerging Risk,Incident Reporting,Object-Relational Mapping,Financial Services,Risk Management,Outsourcing,Management,Regulatory Requirements,Templates,New Product Development"
19,"Lead Security Analyst, Secure Code Review","Cryptography,Presentations,Application Programming Interface (API),Microsoft Azure,Mobile Application Development,Operating Systems,Quick Learning,Container Security,Security Controls,Solution Architecture,RESTful API,Web Application Security,Authentications,Threat Modeling,Information Privacy,Financial Services,Code Review,Secure Coding,Design Reviews,Access Controls,Mentorship,Communications,Amazon Web Services,Vulnerability"
20,Security Analyst,"Debugging,Certified Information System Auditor (CISA),Nginx,Perl (Programming Language),Shell Script,Incident Response,Cyber Security,Certified Ethical Hacker,TCP/IP,PHP (Scripting Language),Application Firewall,Java (Programming Language),Web Servers,Software Engineering,Triage,Certified Information Systems Security Professional,Internet Protocols Suite,Scripting,Packet Analyzer,Firewall,Training And Development,General Security,Open Web Application Security Project (OWASP),Vulnerability,Endpoint Detection And Response,Computer Science,Regular Expressions,Transmission Control Protocol (TCP),Information Technology,Mentorship,Team Leadership"
21,Security Operations Center Analyst,"Cyber Threat Intelligence,TCP/IP,Python (Programming Language),Cyber Threat Hunting,Offensive Security Certified Professional,Certified Information Systems Security Professional,Cyber Operations,Scripting,Financial Services,Bash (Scripting Language),Windows PowerShell,Innovation,Vulnerability,Investigation"
22,Cyber Security Analyst,"Azure Data Explorer (Kusto),Microsoft Azure,Incident Response,Cyber Security,Creative Thinking,Network Protocols,Web Traffic,Amazon Web Services,Cybercrime,Python (Programming Language),Resilience,Content Creation,Triage,Linux Security Modules,Open Web Application Security Project (OWASP),Windows PowerShell,Cyber Defense,Curiosity,Research,Innovation,English Language,Management,Reinsurance,Prioritization,Writing,Customer Service,R (Programming Language),Tooling"
23,Information Security Analyst Intern,"Incident Response,Cyber Security,Web Filtering,Security Investigations,Advocacy,Network Security,Courage,Administrative Support,Active Directory,Cloud Access Security Broker Tools (CASBs),Security Information And Event Management (SIEM),Decisiveness,Vulnerability,Information Technology,Product Lifecycle Management,Medical Response Technician"
24,"Analyst, Vulnerability Management","Detail Oriented,Qualys,Curiosity,Nexpose (Vulnerability Scanning Software),Vulnerability Scanning,Vulnerability Management,Vulnerability Assessments,GIAC Certifications,GIAC Security Essentials Certification (GSEC),Splunk,Compassion,Python (Programming Language),Strong Work Ethic,Problem Solving,Root Cause Analysis,Java (Programming Language),Cyber Security,Vulnerability,TikTok,Continuous Monitoring,Data Visualization,Tableau (Business Intelligence Software),Creativity,Data Analysis,Innovation,Management,Microsoft Excel,Decision Making,Operations,Microsoft PowerPoint,New Product Development"
25,Cyber Security Sales Executive,"Phone Sales,Market Positioning,Sales Strategy,Presentations,Security Testing,Cyber Security,Business Process,Key Performance Indicators (KPIs),Sales Management,Penetration Testing,Interpersonal Communications,Communications,Consulting,Data Security,Sales,Selling Techniques,Information Technology,Management,English Language,Mandarin Chinese,Decision Making,Business Development,Leadership,Timelines,Business To Business,Bidding"
26,SOC Analyst II,"Customer Service,Housekeeping,Analytical Skills,Cyber Security,Communications,Ethical Hacking,Network Security,Teamwork,Problem Solving,Security Systems,Writing,Security Information And Event Management (SIEM),Triage,Decisiveness,Cyber Threat Intelligence,Firewall,Process Improvement,Incident Management,Management By Exception,Technology Ecosystems,Security Policies,Innovation,Auditing,React.js (Javascript Library),Operations,Investigation,Information Security Management Systems,Troubleshooting (Problem Solving),Operating Systems,Team Leadership"
27,Sr. Security Analyst,"Microsoft Word,IdentityIQ,Systems Analysis,Shell Script,Requirements Analysis,Scripting,Information Privacy,Amazon Web Services,Management,Workflow Management"
28,Cyber Security Analyst / IT Security Engineer (APAC),"Firewall,Vulnerability Scanning,Cyber Engineering,Cyber Security,Web Filtering,Event Management,Risk Analysis,Malware Analysis,IT Security Architecture,Sensors,Security Information And Event Management (SIEM),Scalability,Account Management,Security Investigations,Penetration Testing,Intrusion Detection And Prevention,Auditing,Troubleshooting (Problem Solving),Technical Support,Research"
29,Security Analyst,"Proxy Servers,Written English,Operating Systems,Service Level Objectives,Personal Integrity,Incident Response,Cyber Security,Cyber Security Policies,Network Protocols,Event Management,English Language,TCP/IP,File Transfer Protocol (FTP),Internal Controls,Internet Protocol Security (IP SEC),Problem Solving,Service-Level Agreement,Security Information And Event Management (SIEM),Intrusion Detection And Prevention,Consulting,Web Servers,Mandarin Chinese,Database Security,Research,Communications,Automation,Workflow Management"
30,(Cyber Security) Cyber Threat Intelligence Analyst,"Cyber Threat Intelligence,Cyber Security,Cyber Threat Hunting,Sustainable Business,Cyber Engineering,Process Improvement,Cyber Defense,Operations,Open Source Intelligence,Investigation,Team Leadership"
31,IT Security Operations Analyst,"GIAC Certifications,Data Infrastructure,Security Log,Community Development,Standard Operating Procedure,Risk Analysis,Telecommunications Networks,Security Systems,Certified Information Systems Security Professional,Incident Management,Operating Systems,Computer Science,Vulnerability Scanning,Certified Information Security Manager,Vulnerability,Research,Prioritization,Operations,Investigation,Technical Support"
32,Cyber Security Maintenance Engineer,"Maintenance Engineering,Operations Support Systems,Virtual Private Networks (VPN),Cyber Security,Disaster Recovery Plan,Fortinet,Network Security,Interpersonal Communications,Root Cause Analysis,Stakeholder Management,Service Level,Scripting,Consulting,Firewall,Computer Science,Unix Shell,Network Time Protocols,Multiplatform,Systems Integration,Network Switches"
33,Infrastructure Cybersecurity Operations Engineer - Information Security,"Log Analysis,Cyber Threat Intelligence,Perl (Programming Language),Vulnerability Management,Digital Forensics,Security Engineering,Incident Response,Python (Programming Language),Network Monitoring,Network Security,Malware Analysis,Risk Governance,Root Cause Analysis,Operational Data Store,Cyber Security,Intrusion Detection And Prevention,Scripting,Threat Detection,Vulnerability,Bash (Scripting Language),Computer Science,Network Architecture,English Language,Management,Operations,Automation,Communications"
34,"Analyst, Cybersecurity","Certified Information System Auditor (CISA),Project Management,Planning,Financial Planning,Incident Response,Security Awareness,Cyber Security,Strategic Planning,CyberArk,Certified Information Systems Security Professional,Cyber Operations,Incident Response Management,Business Planning,Security Policies,Endpoint Detection And Response,English Language,Vulnerability,Auditing,Team Leadership"
35,Cyber Security Program Analyst,"Information Assurance,Electronic Engineering,Computational Tools,Program Analysis,Flask (Web Framework),Cyber Security,Linux,Kernel-Based Virtual Machine,Web Application Frameworks,Compilers,Python (Programming Language),Virtualization,Mathematics,Autonomous Vehicles,Operations Research,Machine Learning,Ansible,Computer Networks,Natural Language Processing,Quick EMUlator (QEMU),Dynamic Host Configuration Protocol (DHCP),Computer Forensics,Research And Development,Computer Programming,Training And Development,Artificial Intelligence,Computer Engineering,Embedded Systems,Computer Security,JavaScript (Programming Language),Windows PowerShell,Computer Science,Programming Tools,Research Experiences,Game Theory,Data Analysis,Internet Of Things (IoT),Research,Vulnerability"
36,Cyber Threat Intelligence Analyst,"Capital Markets,Cyber Threat Intelligence,Development Management,Industry Analysis,Hand Mentor,International Relations,Espionage,Interpersonal Communications,Finance,Political Sciences,Social Media Intelligence,Creativity,Cybercrime,Emerging Technologies,Intelligence Analysis,Economics,Foreign Language,Malware Analysis,Marketing,Critical Thinking,Operations Support Systems,Cyber Security,Cyber Kill Chain Framework,Verbal Communication Skills,Business Administration,Financial Services,Geopolitics,Threat Assessment,Cyber Defense,Computer Science,Entrepreneurship,Problem Solving,Research,Operations,Blogs,Human Intelligence,Business Development,Open Source Intelligence,Investments,Decision Support Systems"
37,Researcher - Cyber Security / AI,"Debugging,Quantum Information,Applied Research,Malware Analysis,Cyber Security,Technical Documentation,Artificial Intelligence,Computer Science,Research,Vulnerability,Innovation"
38,Information Technology - Cyber Security Applications Engineer,"Enthusiasm,Cryptography,Infrastructure Security,Vulnerability Management,DevSecOps,Static Application Security Testing (SAST),Network Planning And Design,Threat Modeling,Business Strategies,Cyber Security,Certified Ethical Hacker,Interpersonal Communications,Dynamic Application Security Testing (DAST),Secure Application Development,Positivity,Machine Learning,Cloud Security,Certified Secure Software Lifecycle Professional,Cloud Technologies,Application Security,Certified Information Systems Security Professional,IT Security Architecture,Cyber Risk,Code Review,Open Web Application Security Project (OWASP),Presentations,Writing,Vulnerability,Certified Cloud Security Professional (CCSP),Communications,Management,Agile Methodology,Auditing"
39,Cybersecurity Technology Support Engineer,"Application Services,Systems Security Certified Practitioner,CompTIA Security+,Interpersonal Communications,Python (Programming Language),Network Security,Cyber Security Systems,Security Information And Event Management (SIEM),Cyber Security,ITIL Certifications,JavaScript (Programming Language),Computer Science,Cyber Security Management,Endpoint Detection And Response,Operations,Communications,Vulnerability"
40,Global Technology Summer Analyst (Information Security / Cybersecurity) - 2024 - Singapore,"Computing Platforms,Business Analytics,Communications,Strategic Planning,Portfolio Management,Application Layers,Cyber Security,Cyber Threat Intelligence,Firewall,Patch Management,Financial Services,Computer Engineering,Risk Management,Computer Science,Creativity,Management,Information Systems,Innovation,Sales,Research"
41,Associate Security Analyst,"Debugging,Certified Information System Auditor (CISA),Nginx,Perl (Programming Language),Shell Script,Cyber Security,Certified Ethical Hacker,TCP/IP,PHP (Scripting Language),Application Firewall,Network Security,Runbook,Service-Level Agreement,Java (Programming Language),Web Servers,Software Engineering,Triage,Certified Information Systems Security Professional,Internet Protocols Suite,Scripting,Packet Analyzer,Firewall,Security Devices,Training And Development,Remedial Action,General Security,Open Web Application Security Project (OWASP),Endpoint Detection And Response,Computer Science,Regular Expressions,Transmission Control Protocol (TCP),Vulnerability,Information Technology,Automation"
42,Cyber Security Researcher,"Operating Systems,Cryptography,Cyber Security,Black-Box Testing,Emerging Technologies,Mathematics,Network Security,Problem Solving,Computer Science,Information Technology,Vulnerability,Troubleshooting (Problem Solving),Innovation,Research"
43,Cyber Threat Analyst,"Business Ethics,Certification Structure Oversight Committee (CSOC),Cyber Threat Intelligence,Cyber Security,Ability To Meet Deadlines,Composure,Network Security,Writing,Application Security,Intrusion Detection And Prevention,Cyber Operations,Threat Detection,Vulnerability,Management,Linux Virtual Server"
44,Cybersecurity Engineer (Binary Vulnerability Hunting) - Information Security,"Log Analysis,Buffer Overflow,Self-Motivation,Process Improvement,Github,Cyber Engineering,Security Log,Linux,Burp Suite,Quick Learning,Python (Programming Language),Fuzz Testing,IDA Pro,WinDBg,GNU Debuggers,Penetration Testing,OllyDBg,Java (Programming Language),Triage,Endpoint Management,Cyber Security,Log Monitoring,Contingency Planning,Incident Reporting,Security Devices,Vulnerability,Operating Systems,Teamwork,Security Policies,Computer Science,Disaster Recovery,Go (Programming Language),Information Technology,Research,Writing,Communications,International Classification Of Diseases"
45,Technical Risk Analyst - Cybersecurity (Central IT Security),"Firewall,Cyber Security Assessment,Cyber Threat Intelligence,Security Operations (SecOps),Forensic Engineering,Virtual Private Networks (VPN),Multitasking,Intellectual Curiosity,Cyber Security,Certified Ethical Hacker,TCP/IP,Security Controls,Incident Reporting,Security Information And Event Management (SIEM),Cyber Kill Chain Framework,Information Technology Infrastructure Library,Dynamic Host Configuration Protocol (DHCP),Risk Analysis,Incident Management,Risk Management,Computer Science,Mitigation,Operations,Management,Vulnerability,Communications,Auditing"
46,Threat Hunter/Analyst,"Incident Response,Linux,Constructive Feedback,Cyber Threat Hunting,Mac OS,Cyber Security,Data Analysis,Threat Modeling,Project Management,Growth Mindedness,Amazon Web Services,Innovation,Operating Systems,Mentorship,Software As A Service (SaaS)"
47,Senior Security Analyst (Sail Point),"Microsoft Word,IdentityIQ,Systems Analysis,Shell Script,Requirements Analysis,Marketing,Scripting,Information Privacy,Amazon Web Services,Management,Enterprise Document Management System,Workflow Management"
48,Analyst (IT Cyber Security),"Cyber Threat Intelligence,Resourcefulness,Mathematics,Triage,Interpersonal Communications,Computer Science"
49,Information Technology - Cyber Security Incident Lead,"Enthusiasm,Cyber Threat Intelligence,Certified Information System Auditor (CISA),Cyber Security,Certified Ethical Hacker,Interpersonal Communications,Digital Assets,Service Management,GIAC Certifications,GIAC Certified Incident Handler,Positivity,Active Directory,Incident Communication,Security Information And Event Management (SIEM),Application Security,Certified Information Systems Security Professional,Incident Reporting,Incident Management,Presentations,Writing,Endpoint Detection And Response,Cyber Incident Response,Vulnerability,Leadership,Research,Automation"
50,"Manager, SOC Analyst","Firewall,Cyber Threat Intelligence,Operating Systems,Coaching,Enthusiasm,Distributed Denial-Of-Service (DDoS) Attacks,Virtual Private Networks (VPN),Deep Packet Inspection,Incident Response,Cyber Security,GIAC Certifications,GIAC Security Essentials Certification (GSEC),Phishing,TCP/IP,GIAC Certified Incident Handler,Network Security,Root Cause Analysis,Malware Analysis,Security Information And Event Management (SIEM),Cyber Kill Chain Framework,Dynamic Host Configuration Protocol (DHCP),Verbal Communication Skills,Security Devices,GIAC Certified Intrusion Analyst,Process Improvement,Computer Science,Vulnerability,Problem Solving"
51,Info Security Compliance Engineer - 2024 Campus Recruitment,"Cloud Infrastructure,Microsoft Azure,Network Security,Project Management,Teamwork,Computer Science,Amazon Web Services,Software Development"
52,Physical Security System Engineer,"Advanced Encryption Standard (AES),RSA (Cryptosystem),Curiosity,Application Programming Interface (API),Nginx,Perl (Programming Language),LenelS2 (Access Control System),TCP/IP,Compassion,Encryption,Security Systems,Simple Network Management Protocols,SQL (Programming Language),Public Key Infrastructure,Content Creation,Scripting,VBScript (Visual Basic Scripting Edition),Virtual Local Area Network (VLAN),TikTok,Windows PowerShell,Data Analysis,Management,Troubleshooting (Problem Solving),Creativity"
53,Cyber Security Researcher (Mobile),"Mathematics,Malware Analysis,Problem Solving,Knowledge Management,Computer Science,Programming Tools,Information Technology,Android (Operating System),Apple IOS,Innovation,Research,Troubleshooting (Problem Solving)"
54,Information Security Analyst / Executive (GRC),"Cyber Security Standards,Cyber Security Policies,Cyber Security,Security Policies,Information Privacy,Governance,Communications,Auditing"
55,Cyber Security Specialist,"Digital Banking,Cryptography,Application Development,Penetration Testing,Security Awareness,Financial Technology (FinTech),Communications,Risk Analysis,Cloud Security,Application Security,Certified Information Systems Security Professional,Information Technology Security Auditing,Cyber Security Policies,Infographics,Open Web Application Security Project (OWASP),Risk Management,Computer Science,CompTIA Advanced Security Practitioner (CASP+),Cisco Certified Internetwork Expert,Vulnerability,Information Technology,Management,Troubleshooting (Problem Solving)"
56,Vulnerability Management Analyst - Cyber Security,"GIAC Certifications,Ruby (Programming Language),Python (Programming Language),Vulnerability Scanning,Vulnerability Management,Microsoft Azure,Blockchain Security,Talent Acquisition,Operations Security,Scheduling,Linux,English Language,InsightVM (Vulnerability Scanning Software),NIST Cybersecurity Framework (CSF),Strong Work Ethic,Configuration Management Databases,Cryptocurrency,Asset Management,Vulnerability Assessments,Mac OS,IT Security Documentation,Technology Ecosystems,Triage,Cyber Security,Certified Information Systems Security Professional,Scripting,Information Privacy,Growth Mindedness,Vulnerability,Configuration Management,Payment Card Industry (PCI) Data Security Standards,Bash (Scripting Language),Windows PowerShell,Operating Systems,Governance,Innovation,Mitigation,Communications,Amazon Web Services,Management,Automation,Agile Methodology,Auditing"
57,Information Technology - Cyber Security Specialist (Risk and Governance),"Enthusiasm,Certified Information System Auditor (CISA),General Data Protection Regulation (GDPR),Key Performance Indicators (KPIs),Vulnerability Assessments,Management Reporting,Incident Response,Cyber Security,Certified Ethical Hacker,Interpersonal Communications,Security Policies,Digital Assets,Cyber Governance,Risk Analysis,Positivity,Application Security,Certified Information Systems Security Professional,Cyber Threat Intelligence,Cyber Risk,Architectural Design,Presentations,Writing,Risk Management,Vulnerability,Governance,Governance Risk Management And Compliance,Management"
58,Cyber Security Engineer,"Amazon API Gateway,Blockchain,Cyber Operations,Vulnerability Management,DevSecOps,AWS Certified Security Specialty,Analytical Skills,Amazon Inspector,Serverless Computing,Communications,Static Application Security Testing (SAST),Cheque Truncation Systems,Dynamic Application Security Testing (DAST),Firewall,AWS Certified Cloud Practitioner,Teamwork,Problem Solving,Cyber Security,Amazon CloudWatch,Database Activity Monitoring,Computer Engineering,CI/CD,Computer Science,Amazon Web Services,Management,Automated Clearing House"
59,Lead Analyst - Cyber Defence Ops,"Infrastructure As A Service (IaaS),General Data Protection Regulation (GDPR),Digital Forensics,Product Design,Incident Response,Cyber Security,Cyber Risk,Operations Security,Operational Excellence,Cyber Operations,Cybercrime,Key Performance Indicators (KPIs),Cyber Threat Hunting,Security Controls,Network Infrastructure,Payment Card Industry (PCI) Data Security Standards,Root Cause Analysis,Data Loss Prevention,Security Information And Event Management (SIEM),Triage,Application Security,Intrusion Detection And Prevention,Cyber Kill Chain Framework,Information Technology Infrastructure Library,Cyber Threat Intelligence,Threat Detection,Enterprise Application Software,Query Languages,Vulnerability,Open Web Application Security Project (OWASP),Risk Management,Software As A Service (SaaS),Platform As A Service (PaaS),Mentorship,E-Commerce,Management,Content Delivery Networks,Operations,Mitigation,Technology Ecosystems,Leadership,Analytics,Continuous Improvement Process,Investigation,Team Leadership,Supply Chain"
60,Cybersecurity Incident Analyst,"Cyber Threat Intelligence,Cyber Security,Splunk,GIAC Certifications,GIAC Certified Incident Handler,Network Security,Administrative Support,Triage,Virtual Teams,Certified Information Systems Security Professional,Cyber Kill Chain Framework,Project Coordination,Microsoft PowerPoint,Microsoft Office,Microsoft Excel"
61,Threat Analyst (Assistant Manager),"Log Analysis,Cyber Operations,Artificial Intelligence Markup Language (AIML),Standard Operating Procedure,Medical Devices,Cyber Threat Hunting,NIST Cybersecurity Framework (CSF),Stakeholder Management,Writing,Security Information And Event Management (SIEM),Cyber Security,Cyber Kill Chain Framework,Cyber Threat Intelligence,Operations,Research,Workflow Management"
62,Engineer / Senior Engineer (Cyber Security),"Firewall,Hardware Security Module,Change Control,Incident Response,Cyber Security,Endpoint Security,Hardening,Encryption,Network Security,Privileged Access Management,Writing,Public Key Infrastructure,Infrastructure Security,Computer Science,Access Controls,Information Technology,Management,Technical Support,Operating Systems,Coordinating"
63,IT Compliance & Risk Analyst - Financial Service,"Certified Information System Auditor (CISA),External Auditing,Cyber Security,Cyber Risk,Finance,Containerization,Positivity,Security Technology,Compliance Risk,Business Operations,Emerging Risk,Regulatory Compliance,Certified Information Systems Security Professional,Infrastructure Security,Risk Management,Computer Science,Information Technology,English Language,Mandarin Chinese,Auditing,Mitigation,Communications,Management,Governance,Accounting,Coordinating"
64,Senior Cyber Incident Response Analyst - GSO (Singapore),"Log Analysis,Data Infrastructure,Network Protocols,Traffic Analysis,Digital Forensics,Courage,Incident Response,Collaboration,Docker (Software),Kubernetes,Linux,Creativity,Python (Programming Language),GIAC Certifications,GIAC Certified Incident Handler,Network Security,Malware Analysis,Offensive Security Certified Professional,Security Information And Event Management (SIEM),Cyber Security,GIAC Network Forensic Analyst,Scripting,GIAC Reverse Engineering Malware,Threat Detection,Information Privacy,TikTok,Windows PowerShell,Teamwork,Computer Science,Cyber Incident Response,Innovation,Decision Making,Leadership,Communications,Amazon Web Services,Go (Programming Language),Operations,Data Collection,Agile Methodology,Investigation,New Product Development,Automation"
65,"Cybersecurity Perimeter Response Team Senior Analyst, Vice President","Database Servers,Business Objectives,Denial-Of-Service (DoS) Attacks,Distributed Denial-Of-Service (DDoS) Attacks,Cyber Operations,Data Validation,Network Administration,Pattern Recognition,Application Development,Incident Response,Risk Control,Security Policies,Technical Management,Regular Expressions,TCP/IP,Splunk,Python (Programming Language),Resource Utilization,Network Routing,Application Firewall,Application Programming Interface (API),Network Infrastructure,Production Management,Operational Risk,Java (Programming Language),Business Software,Security Information And Event Management (SIEM),Cyber Security,Operations Management,Microservices,Scripting,Network Performance Management,Authentications,Web Servers,Risk Analysis,Progress Reporting,Security Systems,Risk Mitigation,Server Response,Financial Services,Institutional Investing,Relationship Building,Operating Systems,Vulnerability,Management,Governance,Operations,Web Applications,Mental Health,Troubleshooting (Problem Solving)"
66,Security Engineer (Security Devices),"Firewall,Log Analysis,Development Management,Vulnerability Management,Incident Response,Security Awareness,Sustainability Strategies,Splunk,Environmental Social And Corporate Governance (ESG),Hardening,Sustainable Business,Vulnerability Assessments,Penetration Testing,Project Management,Application Security,Cyber Security,Technology Solutions,Sustainability Reporting,Information Technology Security Auditing,Consulting,Security Devices,Vulnerability,Risk Management,Security Policies,Computer Science,Governance,Auditing"
67,Information Security Analyst / Executive (GRC),"Cyber Security Standards,Cyber Security Policies,Cyber Security,Security Policies,Information Privacy,Governance,Communications,Auditing"
68,Information Security Analyst / Executive (GRC),"Cyber Security Standards,Cyber Security Policies,Cyber Security,Security Policies,Information Privacy,Governance,Communications,Auditing"
69,Cyberthreat Analyst,"Cyber Threat Intelligence,Malware Analysis,Quantitative Data Analysis,Quantitative Research,Python (Programming Language),Resilience,Risk Analysis,Network Security,Honeypots (Computing),Data Analysis,Computer Networks,Cyber Security,Data Transformation,Scripting,Communications,Presentations,Computer Engineering,Computer Science,Operations,Management,Governance"
70,"Cyber Information, Technology and Third Party Risk Officer - Digital Business Services","Multitasking,Data Storage,Cyber Security,Delivery Focused,Communications,Resilience,Security Controls,Backup Devices,Consulting,Data Integrity,Configuration Management,Remedial Action,Continuous Monitoring,Risk Management,Information Technology,Management,Outsourcing,Auditing,Customer Service,Integrated Service Routers"
