,Job Title,Skills
13,Information Technology - Mobile Applications Developer (Android),"Git (Version Control System),Communications,Agile Methodology,SonarQube,Kotlin,Mobile Application Development,Android Development,Jenkins,Extreme Programming,Pair Programming,User Experience (UX),DevOps,Test Automation,CI/CD,Amazon Web Services,Test-Driven Development (TDD),English Language,Google Play,Information Technology,Booking (Sales),Android (Operating System),Safety Assurance,Customer Service"
14,Mobile Developer,"Creative Arts,Piano Pedagogy,App Store (IOS),Github,Android Applications,Flutter (Software),Violin Teaching,Git (Version Control System),User Acceptance Testing (UAT),Learning Development,Organizational Skills,Testability,Computer Science,Management,Apple IOS,Mobile Apps,Operations,Software Development,Research"
15,Full Stack App Developer,"Objective-C (Programming Language),Android (Operating System),Mobile Application Development,Swift (Programming Language),Android SDK,Problem Solving,Java (Programming Language),Communications,Apple IOS"
16,Android Engineer - Fresh Grad,"Technology Research,Algorithms,Quick Learning,Kotlin,Java (Programming Language),Network Operating System (NOS),Data Structures,Artificial Intelligence,Computer Science,Android (Operating System),Merchandising,Innovation,Animations,Workflow Management"
17,Android Software Engineer - TikTok - Singapore,"Smartphone Operation,Mobile Application Development,Debugging,Courage,Collaboration,Communications,Android (Operating System),Kotlin,Java (Programming Language),Android Development,TikTok,Computer Science,Creativity,Software Development"
18,Information Technology - Mobile Applications Developer (Android),"Git (Version Control System),Communications,Agile Methodology,SonarQube,Kotlin,Mobile Application Development,Android Development,Jenkins,Extreme Programming,Pair Programming,User Experience (UX),DevOps,Test Automation,CI/CD,Amazon Web Services,Test-Driven Development (TDD),English Language,Google Play,Information Technology,Booking (Sales),Android (Operating System),Safety Assurance,Customer Service"
19,Embedded Mobile Application Test Developer,"Code Review,Functional Testing,Leadership Development,Mobile Application Development,Testability,Self-Motivation,Android (Operating System),Code Coverage,Software Testing,Mobile Application Testing,Communications,Test Automation,Compatibility Testing,Python (Programming Language),Selenium (Software),Problem Solving,Software Engineering,Quick Learning,Computer Science,Software Development Life Cycle,Test Planning,Systems Development Life Cycle,Agile Methodology,Apple IOS,Troubleshooting (Problem Solving),Usability"
20,"Software Mobile Application Developer, SPPD - Contract","User-Centered Design,Microsoft Azure,Mobile Application Development,Agile Methodology,Technical Design,Discussion Facilitation,Interpersonal Communications,Resourcefulness,Communications,Organizational Development,Positivity,Strategic Planning,Empathy,Business Operations,Front End Design,Quick Learning,Wireframing,Data Governance,Public Cloud,Ruby (Programming Language),Python (Programming Language),Computer Science,Gitlab,Data Analysis,Amazon Web Services,Prototyping,Innovation,Market Research,Software Development"
21,Java Developer,"Debugging,Microservices,Unit Testing,Agile Methodology,Communications,Docker (Software),Git (Version Control System),Kubernetes,Linux,Business Requirements,Spring Framework,Java (Programming Language),Web Services,Scalability,Jenkins,Test-Driven Development (TDD),Troubleshooting (Problem Solving)"
22,Android Developer (Kotlin) - Aviation industry,"Software Versioning,Android Applications,Open Mindset,Kotlin,Model View ViewModel,Unit Testing,Architectural Design,CI/CD,Hotfix,Android (Operating System),Tourism,Troubleshooting (Problem Solving)"
23,Full stack developer Intern (Software Engineer),"Angular (Web Framework),Relational Databases,NoSQL,Air Traffic Management,JavaScript (Programming Language),Apache ActiveMQ,Issue Tracking,JavaScript Frameworks,Debugging,Go (Programming Language),Apache Kafka,Linux,Front End (Software Engineering),Virtualization,React.js (Javascript Library),Unit Testing,Interpersonal Communications,Back End (Software Engineering),RESTful API,Java (Programming Language),Front End Design,Node.js (Javascript Library),Message-Oriented Middleware,RabbitMQ,HyperText Markup Language (HTML),Cascading Style Sheets (CSS),Middleware,Confluent,Computer Science,C (Programming Language),Software Development,Usability"
24,Mobile App Developer (Android / iOS),"Software Design,IOS Applications,App Store (IOS),Microsoft SQL Servers,Application Programming Interface (API),Mobile Application Development,Debugging,Swift (Programming Language),Web Application Development,Interpersonal Communications,Kotlin,Java (Programming Language),Information Privacy,Computer Science,Android (Operating System),Apple IOS,Web Applications,Time Management,Information Technology,C (Programming Language),Smartphone Operation"
25,Java Developer,"Application Servers,Microservices,Spring Cloud,Framework Design,Software Design Patterns,Development Environment,Interpersonal Communications,Hibernate Query Language,Experience Design,Application Programming Interface (API),Java (Programming Language),Hibernate (Java),SQL (Programming Language),Swagger UI,Spring Framework,Relational Database Management Systems,JSON,IT Capacity Management,Agile Methodology,Research,Operating Systems"
26,Junior Mobile developer (iOS/Android) - Tech industry,"Product Design,Debugging,Kotlin,Software Development Life Cycle,Android (Operating System),Swift (Programming Language),Apple IOS,Troubleshooting (Problem Solving),Innovation"
27,Senior Android Engineer,"Debugging,Quality Control,Program Optimization,Structured Programming,Technology Research,Kotlin,Writing,Android Development,Data Structures,Artificial Intelligence,Computer Science,Version Control,Android (Operating System),Software Development,Merchandising,Animations"
28,"Senior Software Engineer, Mobile (Android)","Data Storage,RxJava,Android (Operating System),Pixel Perfect,Algorithms,Continuous Integration,Operational-Level Agreement,Software Engineering,Development Environment,Model View ViewModel,Manual Testing,Financial Services,CI/CD,Computer Science,Information Technology,Agile Methodology,Automation,Communications,Innovation,Safety Assurance,Optometry"
29,Information Technology – Mobile Applications Developer (iOS),"App Store (IOS),Swift (Programming Language),Git (Version Control System),Communications,Agile Methodology,SonarQube,Mobile Application Development,Jenkins,Extreme Programming,Pair Programming,User Experience (UX),DevOps,Test Automation,CI/CD,Amazon Web Services,Test-Driven Development (TDD),English Language,Information Technology,Apple IOS,Booking (Sales),Safety Assurance,Customer Service"
30,Android Developer,"Enthusiasm,Curiosity,Proactivity,RxJava,Architectural Design,Live Broadcast,Research,Android (Operating System),Writing"
31,Associate Principal Android Engineer,"AWS Internet Of Things (IoT),App Store (IOS),RxJava,Junit,Leadership Development,Dependency Injection,Google Gson (Java Library),Software Engineering,Modular Design,Android Applications,Codebase,Scrum (Software Development),Communications,Android Jetpack,Application Programming Interface (API),Kotlin,Android Development,Java (Programming Language),Model View ViewModel,Testability,Mockito,Google Play,Espresso (Android Testing Framework),Agile Methodology,Persistence,Android (Operating System),Robolectric,Test Engineering,Internet Of Things (IoT),New Product Development"
32,Application Developer,"Project Design,Microsoft Azure,Agile Software Development,Application Development,Verbal Communication Skills,Support Colleagues,Microsoft SQL Servers,Application Programming Interface (API),Continuous Delivery,Architectural Design,Design Software,Software Engineering,Cloud Migration,Object-Oriented Programming (OOP),CI/CD,Teamwork,Computer Science,Agile Methodology,Management Information Systems,Innovation,Mentorship,Reinsurance"
33,Mobile Developer,"Mobile Application Development,Multitasking,React.js (Javascript Library),Problem Solving,Computer Science,Android (Operating System),Swift (Programming Language),Apple IOS"
34,iOS Mobile Application Developer,"Software Versioning,Planning,RubyGems,Mobile Application Development,Swift (Programming Language),Git (Version Control System),Interpersonal Communications,Post-Production,Storyboarding,Problem Solving,Bundler,Accountability,Writing,Modularity,Model View ViewModel,Programming Concepts,Unit Testing,Git Flow,Architectural Design,CI/CD,Postman API Platform,IOS Development,Hotfix,Creativity,Innovation,Prototyping,Amazon Web Services,Apple IOS,Software Development,Agile Methodology,Research,Troubleshooting (Problem Solving)"
35,Software Developer,"Software Testing,Coaching,Task Planning,Application Programming Interface (API),Extensible Markup Language (XML),Application Development,Scheduling,Technical Engineering,Development Testing,Agile Methodology,Business Requirements,Sprint Planning,Unit Testing,Relational Database Management Systems,JSON,Code Review,Computer Science,Android (Operating System),Systems Integration,Front End (Software Engineering),Troubleshooting (Problem Solving)"
36,Android Developer,"Android Studio,Software Versioning,Mobile Application Development,Android (Operating System),Git (Version Control System),Software Development Life Cycle,Informed Consent,Architectural Patterns,Android SDK,Kotlin,Java (Programming Language),Mercurial,User Experience (UX),Information Privacy,Computer Science,C (Programming Language),Agile Methodology,Communications,Software Development,R (Programming Language)"
37,Mobile App Developer,"Mobile Application Development,Android Development,Data Structures,Apple IOS,Android (Operating System)"
38,Staff SW Engineer(Full Stack Developer),"Code Review,MySQL,Junit,Spring Boot,Agile Methodology,Java Platform Enterprise Edition (J2EE),Authorization (Computing),Git (Version Control System),Interpersonal Communications,Communications,RESTful API,Full Stack Development,Apache Maven,Web Application Development,Continuous Integration,Master Of Business Administration (MBA),Application Programming Interface (API),Angular (Web Framework),Continuous Delivery,Resilience,Business Requirements,Software Quality (SQA/SQC),Java (Programming Language),Scalability,Jenkins,Technical Documentation,Scripting,Unit Testing,Spring Framework,JSON,Software Engineering,Operating Systems,Node.js (Javascript Library),Cascading Style Sheets (CSS),Innovation,Prioritization,User Interface (UI) Design,Vulnerability"
39,Software Developer,"Kibana,Vue.js (Javascript Library),Spring Boot,Microsoft Azure,Docker (Software),Apache Spark,Unit Testing,JIRA,React.js (Javascript Library),Teamwork,Software Quality (SQA/SQC),Multitasking,Kotlin,Java (Programming Language),Redis,SQL (Programming Language),Mobile Application Development,Ideation,OAuth,Code Review,Grafana,Communications,Agile Methodology,Software Development,Automation,Experimentation"
40,Application Developer (Andriod/ Java) - Contract = 12 months,"Business Process,Android Software Development,Release Management"
41,Software Engineer (Android SDK),"Game Programming,Mobile Application Development,Operating Systems,Informed Consent,Critical Thinking,Information Privacy,Computer Engineering,Software Engineering,Architectural Design,Computer Science,Android (Operating System),Communications"
42,Technical Lead – Android Developer,"Software Design,Human Interface Guidelines,Android Studio,Application Programming Interface (API),RxJava,Android (Operating System),Software Design Patterns,Android Applications,Project Management,Git (Version Control System),Influencing Skills,Software Development Life Cycle,Advocacy,Positivity,Android SDK,JIRA,Kotlin,Java (Programming Language),IT Security Documentation,Scalability,Front End Design,Code Reuse,Version Control,Software Analysis,Architectural Design,Google Play,Library,Systems Development Life Cycle"
43,Full Stack Developer,"JavaScript (Programming Language),Digital Transformation,Application Programming Interface (API),Spring Boot,Microservices,Toolchain,Dynamic Content,Application Development,User Experience (UX),React.js (Javascript Library),Interpersonal Communications,Communications,Performance Engineering,Test Tools,Test Automation,Atlassian Bamboo,JIRA,Banking,Bitbucket,Problem Solving,Writing,Cyber Security,Consulting,Joint Ventures,DevOps,HyperText Markup Language (HTML),Cascading Style Sheets (CSS),Financial Services,Computer Engineering,Automotive Finance,Information Technology,Telecommunications,Management,Operations,Innovation,Analytics,User Interface (UI),User Interface (UI) Design,Investments,Research,Atlassian Confluence,Artificial Intelligence"
44,Mobile applications developer (IOS) 005,"Software Versioning,Application Programming Interface (API),Mobile Application Development,Swift (Programming Language),Git (Version Control System),IOS Development,Continuous Integration,Design Elements And Principles,Software Quality (SQA/SQC),RESTful API,Apple Cocoa,Objective-C (Programming Language),Apple IOS,Troubleshooting (Problem Solving),Automation,Benchmarking"
45,Full-stack Developer - Innovation Lab,"Blockchain,Ruby (Programming Language),Python (Programming Language),Entrepreneurship,Vue.js (Javascript Library),Talent Acquisition,Open Mindset,Interpersonal Communications,Full Stack Development,Cryptocurrency,React.js (Javascript Library),MobX,Technology Ecosystems,Mobile Application Development,Scalability,Front End Design,Organizational Skills,Quick Learning,Node.js (Javascript Library),Go (Programming Language),DevOps,Code Review,Design Reviews,LESS,Innovation,Prototyping"
46,Python/SQL Backend Developer,"Python (Programming Language),Financial Data,SQL (Programming Language),Test Automation,CI/CD,Amazon Web Services,Platform As A Service (PaaS),Software Development"
47,Entry level software developers – Fresh graduates are welcome to apply - Multiple positions available - Only Singaporeans due to Security Clearance,"Business Process Automation,Talent Acquisition,Managed Services,Java (Programming Language),Consulting,Information Privacy,Financial Services,Computer Science,Information Technology,Business Intelligence,Software Development,C (Programming Language)"
48,Full Stack Web Developer (Information Technology),"TypeScript,Vue.js (Javascript Library),Systems Analysis,Responsive Web Design,Emerging Technologies,Full Stack Development,Sassy Cascading Style Sheets (SCSS),Angular (Web Framework),Problem Solving,SQL (Programming Language),HyperText Markup Language (HTML),Cascading Style Sheets (CSS),JSON,JavaScript (Programming Language),Operating Systems,AWS Lambda,Computer Hardware,Information Technology,Web Applications,Troubleshooting (Problem Solving),Innovation,Agile Methodology"
49,APPLICATION DEVELOPER,"Digital Transformation,Multitasking,Technical Design,Business Process,.NET Framework,Cyber Security,Environmental Social And Corporate Governance (ESG),Computer Science,Microsoft SharePoint,Communications,Research,Workflow Management"
50,Applications Developer,"Planning,Operations Support Systems,Programming Tools,Business Process,Process Analysis,Ethical Standards And Conduct,Feasibility Studies,Systems Analysis,Systems Design,Management,Coordinating"
51,"Senior Android Developer, Gigster Network","Material Design,Code Review,Android Studio,Blockchain,Application Programming Interface (API),React Native,Artificial Intelligence Markup Language (AIML),Agile Software Development,Android (Operating System),Mobile Application Development,Gradle,Android Applications,Flutter (Software),Collaboration,Git (Version Control System),Communications,Project Management,Full Stack Development,Model View Controller,Memory Management,Enterprise Application Software,SQLite,Design Elements And Principles,Android SDK,Kotlin,RESTful API,Java (Programming Language),Software Engineering,Scalability,Google Maps,Android Development,Model View ViewModel,DevOps,Okhttp,Application Performance Management,Version Control,Non-Fungible Tokens (NFT),Software Development,Decision Making,Innovation,Safety Assurance"
52,Senior Front End Developer (Android / UI),"Internet Services,Leadership Development,Android (Operating System),Data Science,Embedded Software,Software Engineering,Scrum (Software Development),Communications,Android Jetpack,Machine Learning,Kotlin,Java (Programming Language),Writing,Computer Science,User Story,Research,Apple IOS,Test Engineering,Innovation,New Product Development,Animations"
53,Summit Software Developer,"Capital Markets,Shell Script,Technical Analysis,Agile Methodology,Apache Kafka,IBM WebSphere MQ,Git (Version Control System),Finance,Communications,Interest Rate Derivatives,Architectural Design,Financial Services,Problem Solving,Java (Programming Language),SQL (Programming Language),Job/Batch Scheduling,Jenkins,Release Engineering,Verbal Communication Skills,DevOps,Middleware,Quality Improvement,Release Management,CI/CD,C (Programming Language),Technical Support"
54,Senior Android Software Engineer - TikTok Live (Revenue),"Curiosity,Android (Operating System),Mobile Application Development,Software Design Patterns,Debugging,Collaboration,Communications,Compassion,Live Streaming,Kotlin,Java (Programming Language),Android Development,TikTok,Computer Science,Creativity,Software Development"
55,Developer Intern (Mobile),"Debugging,MySQL,Application Programming Interface (API),Android (Operating System),Development Testing,Code Testing,Mobile Application Development,Information Privacy,HyperText Markup Language (HTML),Cascading Style Sheets (CSS),JQuery,Quality Improvement,JavaScript (Programming Language),Computer Science,Information Technology,Information Systems,Software Development"
56,Mobile Developer - iOS,"Mobile Application Development,Talent Acquisition,Swift (Programming Language),Agile Methodology,IOS Applications,Cryptocurrency,Software Quality (SQA/SQC),Technology Ecosystems,Software Engineering,Innovation"
57,Jr Solution Developer (Intern),"Relational Databases,Scikit-Learn (Python Package),MySQL,Nginx,Application Programming Interface (API),Planning,Pandas (Python Package),Video Conferencing,Agile Software Development,Microservices,Parsing,Flask (Web Framework),Data Processing,Docker (Software),React.js (Javascript Library),Kubernetes,Quick Learning,Web Services,Web Application Frameworks,Communications,Python (Programming Language),Django (Web Framework),Query Optimization,Teamwork,Angular (Web Framework),Ethical Standards And Conduct,Gunicorn,System Administration,Problem Solving,Project Management,TensorFlow,SQL (Programming Language),Scalability,Cyber Security,Machine Learning,Front End Design,Organizational Skills,Node.js (Javascript Library),Scripting,HyperText Markup Language (HTML),JavaScript (Programming Language),Matplotlib (Python Package),Software Development Methodologies,NumPy (Python Package),SciPy,Data Analysis,Leadership,Innovation"
58,Front-end Developer (Mobile App),"Debugging,Mobile Application Development,Flutter (Software),Git (Version Control System),Communications,Android (Operating System),Problem Solving,Marketing,Software Engineering,Front End Design,Version Control,Architectural Design,Teamwork,Computer Science,Innovation,Visionary,Usability,User Experience (UX),Apple IOS"
59,PeopleSoft Application Developer,"Digital Transformation,Extensible Markup Language (XML),PeopleSoft Financial Management,Business Valuation,Ethical Standards And Conduct,Sustainable Business,Honesty,Consulting,Shell Script,PeopleSoft Applications,Operations,Automation,Innovation,Futures Exchange"
60,Java Developers (AMK),"MuleSoft,Code Review,Data Exchange,Application Programming Interface (API),Extensible Markup Language (XML),Apache Camel,Communications,Apache Kafka,Authorization (Computing),Git (Version Control System),Integrated Development Environments,API Design,Continuous Integration,Problem Solving,Interoperability,RESTful API,Java (Programming Language),Web Services,Software Engineering,Scalability,Requirements Analysis,Data Transformation,RabbitMQ,Version Control,Authentications,JSON,Computer Science,Software Development Life Cycle,C (Programming Language),Troubleshooting (Problem Solving),R (Programming Language)"
61,"Full Stack Developer, Group Operations & Technology","Angular (Web Framework),Cloud Foundry,Application Programming Interface (API),Microservices,Mobile Application Development,Cloud-Native Computing,Linux Servers,Docker (Software),React.js (Javascript Library),Kubernetes,Influencing Skills,Financial Technology (FinTech),Cloud-Native Architecture,Kotlin,RESTful API,Mac OS,Scalability,Front End Design,Go (Programming Language),Java (Programming Language),DevOps,Product Requirements,Infrastructure Automation,Public Cloud,JavaScript (Programming Language),Full Stack Development,Information Technology,C (Programming Language),Operations,Agile Methodology,Team Building,Automation,Workflow Management"
62,Frontend Developer,"Aesthetics,Process Design,React.js (Javascript Library),Emerging Technologies,Markup Languages,Front End Design,Functional Requirement,HyperText Markup Language (HTML),Cascading Style Sheets (CSS),JavaScript (Programming Language),Computer Science"
63,Software developer- Full stack Mobile developer,"Requirements Analysis,Bootstrap (Front-End Framework),Functional Requirement,Spring Boot,Extensible Markup Language (XML),Application Development,Global Sourcing,Git (Version Control System),Web Services,IText (Free PDF Software),Extensible Stylesheet Language (XSL),Continuous Integration,Angular (Web Framework),Java (Programming Language),Writing,Software Engineering,Java Enterprise Edition,Jenkins,JavaScript Frameworks,Quality Assurance,HyperText Markup Language (HTML),Security Systems,Oracle SQL Developer,Financial Services,PostgreSQL,Computer Science,Systems Integration,Cascading Style Sheets (CSS),Technical Support,Innovation,Information Systems,Test-Driven Development (TDD),Agile Methodology,Continuous Improvement Process,Governance"
64,Java Developer,"MariaDB,MySQL,Spring Boot,Microservices,Unix,Git (Version Control System),Ability To Meet Deadlines,Linux,Angular (Web Framework),JIRA,Java (Programming Language),Hibernate (Java),Model View Controller,SQL (Programming Language),Java Enterprise Edition,Jenkins,CI/CD,Spring Framework,Agile Methodology,Atlassian Confluence"
65,Software Developer,"Angular (Web Framework),TypeScript,Express.js (Javascript Library),Agile Methodology,Agile Software Development,Requirements Analysis,Scalability Design,Continuous Integration,Continuous Delivery,Test-Driven Development (TDD),React.js (Javascript Library),Java (Programming Language),Front End Design,Go (Programming Language),Consulting,DevOps,Growth Mindedness,Scala (Programming Language),Object-Oriented Programming (OOP),Ruby (Programming Language),Python (Programming Language),JavaScript (Programming Language),CI/CD,Systems Development Life Cycle,Automation,Leadership,Procurement"
66,"Senior Android Developer, Gigster Network","Material Design,Code Review,Android Studio,Blockchain,Application Programming Interface (API),React Native,Artificial Intelligence Markup Language (AIML),Agile Software Development,Android (Operating System),Mobile Application Development,Gradle,Android Applications,Flutter (Software),Collaboration,Git (Version Control System),Communications,Project Management,Full Stack Development,Model View Controller,Memory Management,Enterprise Application Software,SQLite,Design Elements And Principles,Android SDK,Kotlin,RESTful API,Java (Programming Language),Software Engineering,Scalability,Google Maps,Android Development,Model View ViewModel,DevOps,Okhttp,Application Performance Management,Version Control,Non-Fungible Tokens (NFT),Software Development,Decision Making,Innovation,Safety Assurance"
67,Senior Android Engineer (Coupang Play),"Code Review,Junit,MockK,Android (Operating System),Data Binding,Digital Content,ViewModel,Scheduling,Phone Interviews,Google Play,Android Jetpack,Kotlin,Product Engineering,Technical Documentation,Model View ViewModel,Application Lifecycle Management,Middleware,Widevine,Chromecast,New Product Development,Robolectric,Wireless Paging Systems,Customer Service"
68,Developer Intern (Mobile),"Debugging,MySQL,Application Programming Interface (API),Android (Operating System),Development Testing,Code Testing,Mobile Application Development,Information Privacy,HyperText Markup Language (HTML),Cascading Style Sheets (CSS),JQuery,Quality Improvement,JavaScript (Programming Language),Computer Science,CakePHP,C (Programming Language),Information Technology,Information Systems,Apple IOS,Software Development"
69,iOS Developer/Android,"Business Process Automation,Unit Testing,Swift (Programming Language),Dependency Injection,Microsoft Word,Android Jetpack,Managed Services,JIRA,Apple Cocoa,Mobile Application Development,Consulting,Model View ViewModel,Information Privacy,CocoaPods,Financial Services,Information Technology,Business Intelligence,Atlassian Confluence,Supply Chain"
70,Python Developer,"Digital Transformation,Kubernetes,Linux,Business Valuation,Python (Programming Language),Ethical Standards And Conduct,Sustainable Business,Honesty,Problem Solving,OpenShift,SQL (Programming Language),Jenkins,Consulting,Object-Oriented Programming (OOP),CI/CD,Creativity,Innovation,Communications,Operations,Automation,Software Development,Futures Exchange"
71,Java Developer (Exchange/ Trading Platform),"Code Review,Order Management,Order Management Systems,Hedge Funds,Talent Acquisition,Data Processing,Algorithms,Algorithmic Trading,Equities,Test Automation,Python (Programming Language),Derivatives,Product Management,Cryptocurrency,Java (Programming Language),Maintaining Code,Technology Ecosystems,Quick Learning,Microservices,Quality Assurance,Electronic Trading Platform,Optimism,Innovation,Market Data,Auditing,Investment Banking,Test-Driven Development (TDD)"
72,Full Stack Developer (Java+ReactJS+AWS),"Code Review,Cloud Infrastructure,Application Programming Interface (API),Spring Boot,API Gateway,Agile Methodology,Microservices,Docker (Software),React Redux,Scrum (Software Development),Emerging Technologies,Full Stack Development,React.js (Javascript Library),Problem Solving,Software Quality (SQA/SQC),Java (Programming Language),Hibernate (Java),Software Engineering,Scalability,Front End Design,Jenkins,Containerization,REST API Development,Amazon Web Services,DevOps,Sprint Planning,Sprint Retrospectives,JavaScript (Programming Language),CI/CD,Computer Science,Gitlab,C (Programming Language),Software Development,Troubleshooting (Problem Solving),Automation,Management,Communications,R (Programming Language)"
73,"Associate Frontend Developer - Artificial Intelligence, SAP Labs Singapore","Software Design,Angular (Web Framework),Quality Management Systems,Overcoming Obstacles,JavaScript Frameworks,Application Development,Software Design Patterns,Data Science,Docker (Software),RequireJS,UI/UX Design Patterns,Ethical Standards And Conduct,Business Process,Programming Tools,Linux Distribution,Algorithms,User Requirements Documents,Cloud Operations,Machine Learning,SAP Applications,Cloud Applications,Writing,Artificial Intelligence Systems,Learning Development,Product Engineering,Front End Design,Node.js (Javascript Library),Quality Assurance,Knockout.js (Javascript Library),Data Structures,Ubuntu (Operating System),Web UI,Product Leadership,DevOps,Business Software,HyperText Markup Language (HTML),Artificial Intelligence,JQuery,JavaScript (Programming Language),Scalability,Computer Science,User Feedback,Leadership,Operations,Innovation,Automation,Timelines,Enterprise Resource Planning,User Experience (UX),Analytics,Web Applications,Customer Service,English Language"
74,Full-Stack Software Developer,"Mocha (JavaScript Framework),Coaching,Application Programming Interface (API),Vue.js (Javascript Library),Agile Methodology,PostgreSQL,Docker (Software),React.js (Javascript Library),Git (Version Control System),Product Management,Scrum (Software Development),Vuetify,Aquaculture,Full Stack Development,Cloud Technologies,Database Architecture,Front End Design,DigitalOcean,Product Backlog Grooming,Node.js (Javascript Library),Amazon Web Services,DevOps,HyperText Markup Language (HTML),Sprint Planning,Advanced Analytics,Software As A Service (SaaS),Innovation,Time Management,Empowerment,Kanban Principles,Lean Manufacturing,Operations,Agriculture,Teaching,Safety Assurance"
75,Application Developer,"Debugging,Detail Oriented,Code Review,Extensible Markup Language (XML),Linux,PHP (Scripting Language),Emerging Technologies,Maintenance Testing,Java (Programming Language),SQL (Programming Language),Unit Testing,Computer Science,Communications,Test Planning,Microsoft Access,Software Development"
76,Java Developer,"Software Design,Relational Databases,Code Review,MySQL,Agile Methodology,Microsoft Azure,Microservices,Debugging,Docker (Software),React.js (Javascript Library),Git (Version Control System),Scrum (Software Development),Communications,Constructive Feedback,Test Automation,Continuous Integration,RESTful API,Angular (Web Framework),Test-Driven Development (TDD),Problem Solving,Business Requirements,Java (Programming Language),Hibernate (Java),Software Engineering,SQL (Programming Language),Scalability,Front End Design,Jenkins,Containerization,Amazon Web Services,HyperText Markup Language (HTML),Cascading Style Sheets (CSS),Database Systems,Unit Testing,Travis Ci,Software Security,JavaScript (Programming Language),Teamwork,Computer Science,Software Development Methodologies,Spring Framework,Web Development,Vulnerability"
