Module Name,Link,Title,Description
Change Management,https://www.singaporetech.edu.sg/modules/change-management-1,Change Management,"Through this module, students will develop an understanding of the challenges and opportunities presented by changes in science, technology, society and organizations. Popular narratives related to the disciplines of science and technology, such as improvements to how we do things because of technological advancements, or benefits to health because of scientific development, often frame these disciplines as both providing and based upon absolute truth, and formed through singular evolutions. Such narratives present current advancements in science and technology as unproblematic and inevitable processes of evolution. These narratives often fail to take into account alternative narratives and social, political and cultural reasons for the changes, and as such present the reader a view that is, at best, static, and at worst, prejudiced. In recent years, scholars have repeatedly demonstrated that science and technology are as fluid and malleable as the people who produce them.
Through a focus on three themes of “Social Change”, “Organizational Change” and “Individual Change”, students will develop an understanding of how change occurs, why it occurs, and what we can do to anticipate, encourage and manage change, contextualized to healthcare and social care. Students will think about and discuss a range of benefits that managing and understanding change may contribute to their lives, the organizations in which they work, and society as a whole."
Software Verification and Validation,https://www.singaporetech.edu.sg/modules/software-verification-and-validation,Software Verification and Validation,"Software verification and validation uses both static and dynamic techniques of system checking to ensure that the resulting program satisfies its specification, and that the implemented program meets the expectations of the stakeholders. Static techniques are concerned with the analysis and checking of system representations throughout all stages of the software life cycle, while dynamic techniques involve only the implemented system."
Performance Testing and Optimisation,https://www.singaporetech.edu.sg/modules/performance-testing-and-optimisation,Performance Testing and Optimisation,"This module will introduce the students to the various software performance testing methodologies for different software systems under varying load, stress and scales. Application profiling techniques include performance profiling and memory profiling and supporting tools will also be introduced to equip students with the ability to look for potential system bottlenecks during development which can reduce the number of problems that might show up later when the application is stressed. Students will also be able to perform benchmarking for enterprise systems and recommend improvements that will optimise the operations of the system. This module will also enable students to understand the various trade-offs (e.g. associated risk including cost, stability, etc.) during software optimisation. In-depth algorithms optimisation utilising the basic concepts covered in ICT1008 (Data Structures and Algorithms) will also be discussed to expose the students to optimisation at different levels of the system. Performance anti-patterns will be explored to familiarize students with various practices in the industry."
Cloud Computing and Big Data,https://www.singaporetech.edu.sg/modules/cloud-and-distributed-computing,Cloud and Distributed Computing,"Cloud and distributed computing is the fundamental for IoT and Pervasive Systems. This module builds on the introduction to operating systems and computer networks, specifically focusing on the software engineering issues raised by distributed systems and algorithms for use in IoT and pervasive systems. It aims to enable students to develop mechanisms, methodologies and applications for distributed IoT systems, distributed data processing algorithms, distributed algorithms for information dissemination along with theoretical/mathematical modelling of distributed computing, which allow such applications to be developed and deployed for the Smart Nation initiatives."
Integrated Work Study Programme,,,
Capstone Project,https://www.singaporetech.edu.sg/modules/capstone-project-8,Capstone Project,"The aim of the capstone project is to allow students to undertake a substantial piece of individual work, involving planning, specification, design, execution, evaluation of a complex systems that is related to the theme of Smart Nation and IoT. Students are encouraged to develop the scope and requirements of the project together with their academic and industry supervisors during IWSP and complete the implementation of the project in their final trimester of study. They will be required to present their project in a short seminar and submit a dissertation describing the results of the project."
Digital Competency Essentials,,,
Critical Thinking and Communicating,,,
Introduction to Design Innovation,https://www.singaporetech.edu.sg/modules/design-thinking,Design Thinking,"Instead of the traditional problem-based thinking that many engineers are accustomed to, this module introduces an alternative methodology that focuses on a solution-based approach. This module will introduce the student to the basic principles of design thinking including reframing, collaborative exploration, user understanding, ideation, prototyping and integrative thinking. A solution-based approach allows for ideas to be quickly conceptualised and improved upon. It is intended that the student will apply theses design thinking methodologies during their IWSP, thus, inculcating their host organisation with an alternative approach to innovation that can be utilised in their products as well as their business operations."
Interdisciplinary Design Innovation,,,
Social Innovation Project,,,
