Module Name,Link,Title,Description
Data Structures and Algorithms,https://www.singaporetech.edu.sg/modules/data-structures-and-algorithms,Data Structures and Algorithms,"This module introduces the fundamental concepts of data structures and the complexity analysis of algorithms that operate on them. Topics include recursion, fundamental data structures (including arrays, linked lists, stacks, queues, hash tables, trees, heaps and graphs), and efficient algorithms for manipulation and searching of data in these data structures (e.g. sorting, hashing, searching, etc.). The inner workings of the different data structures and algorithms introduced in this course are demonstrated using a programming language such as Java."
Introduction to Software Engineering,https://www.singaporetech.edu.sg/modules/introduction-software-engineering-0,Introduction to Software Engineering,"The aim of this introductory module is to enable students to learn and apply the basic principles and processes of software engineering. It gives broad coverage of important terminologies, concepts and techniques in software engineering including commonly used software life-cycle process models (e.g. agile, waterfall, spiral, V-Model, etc.). Upon completion of this course, students will be able to perform basic requirements engineering and design, particularly using UML and be able to adopt appropriate process models for software development projects. They will also have a basic understanding of requirements engineering, software architecture, testing, software maintenance and project planning. Active learning lectures will be reinforced by flipped tutorials and project-driven labs. For tutorials, students will work in teams to solve pre-assigned problems before the class sessions, and thereby present and defend their solutions during the sessions. In the labs, students will work in teams on client-based projects and utilize a suitable software development life cycle to realize the software products. Besides learning to apply module knowledge during their tutorials and in their development project, students will have the opportunity to learn to make decisions, work, cooperate and communicate with others in a team. As part of the module assessment, each team will develop the client-specified product along with associated deliverables, conduct a software product demonstration as well as undergo individual performance evaluation and peer group evaluation."
Network Security,https://www.singaporetech.edu.sg/modules/network-security,Network Security,"This module will teach the student about the security aspects of networks based on the 7-layer OSI model and will focus on security issues spanning layers 1 through 5. Students will learn about weaknesses in the network, how they can be exploited as well as tools, devices and techniques that can be used to protect the network. Topics covered include Network-based Attacks and Threats; Layer-specific Attack Vectors and Security Issues; Designing Network Perimeter Security, Defense in Depth, De-Militarized Zones and Screened Subnets, Border Router, Packet Filtering, Firewalls, Host Hardening, Intrusion Detection and Prevention Systems; Tools and Techniques; Case Studies."
Ethical Hacking,https://www.singaporetech.edu.sg/modules/ethical-hacking,Ethical Hacking,This module will teach the student about processes and technologies used to perform penetration tests and fuzzing on IT systems and networks (layers 6 and 7). Students will also learn how to analyze and report the information uncovered during the pentest. Topics covered include Security Attacks and Threats to Systems and Applications; Best Practices; Analyzing Security - Attack Vectors and Surfaces; Tools and Techniques; Penetration Test Overview – Process and Methodology; Organization and Reporting; Passive and Active Reconnaissance; Scanning; Gaining and Maintaining Access; Exit Housekeeping; System and Application Hacks; Case Studies.
Embedded Systems Programming,https://www.singaporetech.edu.sg/modules/embedded-systems-programming,Embedded Systems Programming,"Embedded systems are devices where the computing capabilities are embedded and may not be apparent to its users. Examples of embedded systems include digital wristwatches, MP3 players or even the Electronic-Control Unit (ECU) of the modern automobile. Computing capabilities in such devices are usually provided by microcontrollers (MCU). This module will introduce the student to the architecture and subsystems of embedded systems, microcontroller interfacing, memory maps, real-time operating systems (RTOS), typical embedded peripherals such as input/output (I/O) ports, timer, serial communication, support for interrupts, programming of the microcontroller and modern tools for embedded systems development. It will also review the concepts covered in the ICT foundations courses (e.g. ICT1003) and demonstrate the relevance between generic theoretical concepts and the applied embedded systems."
Applied Cryptography,https://www.singaporetech.edu.sg/modules/applied-cryptography,Applied Cryptography,"This module will teach the students about the cryptographic algorithms and protocols that are fundamental in the protection of real-world systems. Topics that will be covered include, but are not limited to, the following: The module consists of lectures, tutorials, and practical sessions, and students are assessed via quizzes, tests, and assignments, culminating in the final exam."
Web Security,https://www.singaporetech.edu.sg/modules/web-security,Web Security,"This module introduces students to the domain of web security, with focus on web application security, and the security of web application servers and infrastructure. Students will be introduced to common web application vulnerabilities, and how such vulnerabilities could be exploited to, e.g., steal data, bypass authentication and business logic, to more severe situations such as remotely launching executable codes on the server. Students will be given the opportunity to try these attacks out themselves using tools and techniques taught, and learn approaches to mitigate such threats. Students will also learn about web application servers and infrastructure, and how to configure them for security, as well as policy and governance aspects pertaining to web security. The module consists of lectures and practical sessions, and students are assessed completely via practical assessments and assignments."
Mobile and Embedded Security,,,
Machine Learning,https://www.singaporetech.edu.sg/modules/machine-learning,Machine Learning,"This module presents students with an introduction to the general theory of learning from data and to a number of popular Machine Learning methods. The main machine learning methods: regression, classification, clustering, probability density estimation, deep learning and dimensionality reduction will be covered in this module. It also enables the students to use a selection of common machine learning algorithms for IoT applications and be aware of when one is to be favoured over the other. Students will be exposed to data exploration methods in R or Python."
Change Management,https://www.singaporetech.edu.sg/modules/change-management-1,Change Management,"Through this module, students will develop an understanding of the challenges and opportunities presented by changes in science, technology, society and organizations. Popular narratives related to the disciplines of science and technology, such as improvements to how we do things because of technological advancements, or benefits to health because of scientific development, often frame these disciplines as both providing and based upon absolute truth, and formed through singular evolutions. Such narratives present current advancements in science and technology as unproblematic and inevitable processes of evolution. These narratives often fail to take into account alternative narratives and social, political and cultural reasons for the changes, and as such present the reader a view that is, at best, static, and at worst, prejudiced. In recent years, scholars have repeatedly demonstrated that science and technology are as fluid and malleable as the people who produce them.
Through a focus on three themes of “Social Change”, “Organizational Change” and “Individual Change”, students will develop an understanding of how change occurs, why it occurs, and what we can do to anticipate, encourage and manage change, contextualized to healthcare and social care. Students will think about and discuss a range of benefits that managing and understanding change may contribute to their lives, the organizations in which they work, and society as a whole. Organizational change theories, and concepts regarding resistance to change will be introduced and discussed. Students will also develop knowledge of individual change. Through exploring their individual strengths and concepts of occupational identity, students will identify individual coping mechanisms and mindsets that may be employed when dealing with change. Students will discuss the potential ways of becoming both a change recipient and agent for an organization and society."
Secure Software Development,https://www.singaporetech.edu.sg/modules/secure-software-development,Secure Software Development,"As more organisations are dependent upon the software for their operations, insecure software can be one of the biggest threat that may cripple an entire organisation and potentially lead to massive losses. Thus, there is a need for software engineers to recognise this and build secure software at the onset. This module will cover the process of building secure software, and the techniques and tools that can be applied at each stage of the software development lifecycle, including security requirements analysis, secure design, threat modelling, secure coding and security verification. Reference may be made to some industry methodologies, for example, Microsoft Security Development Lifecycle."
Integrative Team Project,https://www.singaporetech.edu.sg/modules/integrative-team-project-0,Integrative Team Project,"Students will be grouped into teams of 5-6 and will be working on an integrated team project utilising all the foundation knowledge and skills obtained from the modules that they have covered so far. The students will work to provide a solution for a real problem that will be solicited from industry (e.g. prototyping for a SME). This project will enable students to develop the required skills for working as a team. As this project will run through the entire duration of the semester, some students may be taking their breaks or holidays. Thus, this creates an opportunity for the teams to make use of online collaboration tools as well as practice coordination of team projects where members have heterogeneous abilities and schedules."
Operations Security and Incident Management,https://www.singaporetech.edu.sg/modules/operations-security-and-incident-management,Operations Security and Incident Management,"This module will teach the student about the practical aspects of operations security and management of security incidents. Students will learn to identify threats to an organization and to develop contingency plans to detect, respond and recover from attacks. Topics covered include business impact analysis, resource protection, patch and vulnerability management, incidence response plan, disaster recovery plan (DRP), business continuity plan (BCP), DRP/BCP in the cloud; case studies."
Malware Analysis and Defence,https://www.singaporetech.edu.sg/modules/malware-analysis-and-defence,Malware Analysis and Defence,"This module will teach the student about existing and advanced malware types, how to reverse engineer captured malware and reveal their behaviour and also how to analyze and classify them into various families. Topics covered include Introduction to Assembly Language Subset; Implementing, testing, executing and debugging assembly language programs; Malware Types and Behavioral Differences; Tools and Techniques; Packers and Unpackers; Reverse Engineering of Malware; Static and Dynamic Analyses; Malware Classification Techniques and Heuristics, Anti-Malware Defense Techniques, Memory Scanning and Disinfection; Case-Studies."
Security Analytics,https://www.singaporetech.edu.sg/modules/security-analytics,Security Analytics,"This module will teach the student about data analytics techniques and algorithms and how to apply them to evaluate a computing/communication domain’s attack surface quantitatively and qualitatively. Topics covered include: Identification of Data Collection Sources; Security Monitoring – Blacklists, Whitelists, APT Tagged Domains; Virtualized Appliances and Environments etc; Security Intelligence Mining; Security Analytics Warehouse; Dashboards, Tools and Techniques; Case-Studies."
Digital Forensics,https://www.singaporetech.edu.sg/modules/digital-forensics,Digital Forensics,"This module will teach the student about the processes and technologies used to recover, preserve and analyse data from digital sources e.g. hard disks, memory and mobile phones. Students will also learn about the legal, ethical and testimonial aspects that are found in practical scenarios. Topics covered include Introduction to Forensics and Anti-Forensics; Data recovery from encrypted, obscured, or deleted sources; Preservation of Data as Evidence; Data Integrity Verification; Analysis of preserved data; Mobile Phone Forensics; Issues in Anti-Forensics; Topics on Law, Ethics and Testimony in Forensics; Tools and Techniques; Case Studies."
Industry Certification Module,https://www.singaporetech.edu.sg/modules/industry-certification-module,Industry Certification Module,"To keep up-to-date with the advances in technology, it is common for ICT professionals to attend courses during their careers. Some of these courses may also lead to internationally recognised certifications that are highly-valued by the industry. To inculcate the student with this approach to life-long learning and career advancement, this module requires the student to pass at least one of the certification courses offered by various industry majors or certification bodies. The list of certification courses accepted will be updated regularly to cover the areas that are in demand by the industry. Such areas may include data analytics, cloud solutions architectures, open-source software development and cyber-security."
Special Topics in Security,https://www.singaporetech.edu.sg/modules/network-security,,
Specialised R&D Project,,,
"Security Governance, Risk Management and Compliance",https://www.singaporetech.edu.sg/modules/security-governance-risk-management-and-compliance,"Security Governance, Risk Management and Compliance","This module will teach the student about the leadership, organizational structures and processes that safeguard information. Topics covered include: aligning information security program with business needs, developing a security strategy, establishing security management structure, security governance with reference to security frameworks such as ISO/IEC 27000 series, COBIT and ITIL, creating effective security policies, risk management processes, risk mitigation, laws and regulations such as Sarbanes-Oxley (SOX) and PCI-DSS, security compliance and audit, cloud computing policy, risk and governance, compliance and legal considerations for the cloud, case studies.
Possible Text: Information Security Governance Simplified: From the Boardroom to the Keyboard, by Todd Fitzgerald, CRC Press, 2011."
Integrated Work Study Programme,https://www.singaporetech.edu.sg/modules/integrated-work-study-programme-career-skills,,
Capstone Project,https://www.singaporetech.edu.sg/modules/capstone-project-8,Capstone Project,"The aim of the capstone project is to allow students to undertake a substantial piece of individual work, involving planning, specification, design, execution, evaluation of a complex systems that is related to the theme of Smart Nation and IoT. Students are encouraged to develop the scope and requirements of the project together with their academic and industry supervisors during IWSP and complete the implementation of the project in their final trimester of study. They will be required to present their project in a short seminar and submit a dissertation describing the results of the project."
Digital Competency Essentials,,,
Critical Thinking and Communicating,,,
Introduction to Design Innovation,https://www.singaporetech.edu.sg/modules/design-thinking,,
Interdisciplinary Design Innovation,,,
Social Innovation Project,,,
