,Unnamed: 0,Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills,Extracted Skills,Hard Skill,Soft Skill
155,155,Cyber Security Engineer - DSC/CY/11478,3717696307,ST Engineering,"Singapore, Singapore (On-site)",11,Entry level,Full-time,Engineering:Information Technology,Industrial Machinery Manufacturing,job description job responsibilitiessupports design build implement maintenance information systemsresponsible successful delivery integrated systems stakeholdersconduct research gain indepth understanding operating system architecture kernel subsystemsdebug resolve technical issues vendorsdevelopers ensure applicationsystem availability reliabilitydocument writeup including design documents operator maintenance manual training manual test cases responsible installation configuration testing commissioning systems including operating systems applications software system management tools projectskeep abreast latest technologies products relation information technology information security information managementworking stakeholders identify business needs develop new solution customers job requirementsdegree diploma computer science computing engineering ict related disciplineat least years experience related areasgood knowledge networking information security information managementexperienced python c cability write scripts including shell script python advantageoussystems installation implementation especially involving windows unix based operating systemsgood interpersonal communication skills correspondence discussion customers technical counterpartreliable flexible adaptable situations good aptitude problem isolation solving skills project implementationselfmotivated positive “cando” attitude passionate problem solving willingness picking new skillsetsbroad exposure variety technologies eg server virtualization database network firm understanding interdependencies technologiesa good team playerworking location jurong eastsingaporeans,20-Sep-2023,Design Documents:Integrated Systems:Project Implementation:Python (Programming Language):Shell Scripting:System Architecture:Test Cases:Vulnerability Assessment:Vulnerability Management,"Operating Systems,Unix,Python (Programming Language),Interpersonal Communications,Server Virtualization,Shell Script,Computer Science,Information Technology,Information And Communications Technology,Problem Solving,System Administration,Commissioning,Research","Operating Systems,Unix,Python (Programming Language),Interpersonal Communications,Server Virtualization,Shell Script,Computer Science,Information Technology,Information And Communications Technology,System Administration,Commissioning,Research",Problem Solving
156,156,IT Project Manager(Cybersecurity),3705662136,Lenovo PCCW Solutions,"Singapore, Singapore (On-site)",53,Executive,Contract,Information Technology,IT Services and IT Consulting,job description lenovo pccw solutions subsidiary pccw insys leading technology solutions powerhouse asia pacific strategic partnership formed lenovo pccw august company offers marketleading solutions help organizations transform operations increase competitiveness enhance innovation technology wide range technology solutions service offerings include system integration application development operation outsourcing managed services digital solutions technical services job responsibilities project deliverables ensuring projects delivered ontime within scope within budget developing project scopes objectives involving relevant stakeholders ensuring technical feasibility gather analyze plan requirements standards reference scheduled projects project management develop detailed project plan track progress use appropriate verification techniques manage changes project scope schedule costs measure project performance using appropriate systems tools techniques manage project issues escalation manage relationship client stakeholders perform risk management minimize project risks establish maintain relationships third partiesvendors create maintain comprehensive project documentation job requirements project experiences strong experience managing projects public sector project management stages initiation till operation handover infrastructure typed project management secondary skills experience handling project management cybersecurity conduct compliance audit good exposure cybersecurity solutions years experiences work team internally externally vendor resources excellent communication written skills able handle multiple projects concurrently,06-Sep-2023,Change Management:Cybersecurity:Handle Multiple Projects:Handover:IT Escalation:Project Documentation:Project Management:Project Performance:Project Planning:Project Plans,"Project Documentation,Project Management,Project Planning,Application Development,Technical Services,Communications,Managed Services,Project Risk Management,Strategic Partnership,Project Performance,Cyber Security,Technology Solutions,Project Scoping,Risk Management,Quality Auditing,Operations,Systems Integration,Outsourcing,Innovation","Project Documentation,Application Development,Technical Services,Managed Services,Strategic Partnership,Project Performance,Cyber Security,Technology Solutions,Project Scoping,Quality Auditing,Operations,Systems Integration,Outsourcing,Innovation","Project Management,Project Planning,Communications,Project Risk Management,Risk Management"
158,158,Cyber Security Engineer - GRC,3533328139,Morgan McKinley,"Singapore, Singapore (Hybrid)",68,Mid-Senior level,Full-time,Information Technology:Analyst,Airlines and Aviation,position summary project description cybersecurity engineer primary role limited to• provide professional service deployment cybersecurity solutions infrastructure• manage execute complex projects integration upgrade security solutions may include antimalware network ips firewalls proxies web application firewalls ddos end detection response identity privilege account management solution siem vulnerability management solutions etc• handles project implementation related activities processes• provide handson review assets eg security network devices workstations servers applications middleware security best practices guidelines nist benchmarks• provide ongoing management solutions deployment• detecting mitigating threats managing endpoint protection implementing infrastructure monitor detect alert mitigate cyber threats• supporting cyber incident response team performing detailed investigations securityrelated incidents requirements qualifications· least years experience cyber security capacities· strong knowledge experience end user computing server network security· strong experience supporting windows messaging exchange mdm switch router firewall nac vpn f mcafee ffefde· network support areas wireless wired vpn· patch management ms oob sep atp· endpoint protection symantec· vulnerability assessment· penetration testing· data loss protection· strong experience managing vendors· security certification· itil foundation certified strong incident management problem management accepting candidates based singapore,25-Sep-2023,"Cybersecurity:Firewalls:Governance, Risk Management, and Compliance (GRC):ITIL:Incident Management:Network Access Control (NAC):Penetration Testing:Virtual Private Network (VPN):Vulnerability:Vulnerability Assessment","Firewall,Proxy Servers,Vulnerability Management,Endpoint Security,Network Support,Distributed Denial-Of-Service (DDoS) Attacks,Virtual Private Networks (VPN),Cyber Security,ITIL Foundation Certification,Network Access Control,Problem Management,Cyber Engineering,Windows Messaging,Security Information And Event Management (SIEM),Account Management,Project Implementation,Incident Management,Middleware,Patch Management,Cyber Incident Response,Vulnerability,Management,Wireless Communications,Investigation,Mobile Device Management","Firewall,Proxy Servers,Endpoint Security,Network Support,Distributed Denial-Of-Service (DDoS) Attacks,Virtual Private Networks (VPN),Cyber Security,ITIL Foundation Certification,Network Access Control,Cyber Engineering,Windows Messaging,Security Information And Event Management (SIEM),Project Implementation,Middleware,Cyber Incident Response,Vulnerability,Wireless Communications,Investigation,Mobile Device Management","Vulnerability Management,Problem Management,Account Management,Incident Management,Patch Management,Management"
159,159,Security Engineer,3706535340,Tata Consultancy Services,"Singapore, Singapore (On-site)",166,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,· ensure key security requirements defined designed systems implemented accordance security design compliance prevailing ict security policies standards · perform threat modelling product design design phase identify risks propose mitigation measures · plan facilitate coordinate security assessments activities throughout product lifecycle · interpret remediate findings security assessments including limited vulnerability assessment penetration testing vapt reports source code review scr software composition analysis sca scan reports · work stakeholders team remediate risks proposing suitable mitigation measures · monitor systems scope security alerts · investigate security alerts raised participate security incident investigations need arises · customize security playbooks prepare various incident scenarios scope product · participate tabletop simulation exercises · perform security operational work including security configuration setup applications solutions meet security requirements patching upgrading security patches · work closely cybersecurity stakeholders organization including agency ciso cybersecurity consultants team members · keep date emerging threats security technologies,07-Sep-2023,Application Security:Code Review:Cybersecurity:ICT Security:Information and Communications Technology (ICT):Penetration Testing:Security Policy:System Configuration:Vulnerability:Vulnerability Assessment,"Product Lifecycle Management,Product Design,Threat Modeling,Vulnerability Assessments,Penetration Testing,Security Requirements Analysis,Cyber Security,Code Review,Security Investigations,Security Policies,Investigation","Product Design,Threat Modeling,Vulnerability Assessments,Penetration Testing,Security Requirements Analysis,Cyber Security,Code Review,Security Investigations,Security Policies,Investigation",Product Lifecycle Management
162,162,Assoc Security Engineer,3711542970,Synapxe,"Singapore, Singapore (Hybrid)",41,Entry level,Full-time,Information Technology,IT Services and IT Consulting,position overview security engineer performs realtime analysis trending security log data various security devices systems heshe maintains data sources feeding log monitoring system develops maintains detection alerting rules responds user incident reports evaluates type severity security events executes initial triage incidents rule false positives documents incidents develops reports identifies recurring security issues risks develops mitigation plans recommends process improvements interprets applies security policies procedures required standby oncall availability varied shifts including nights weekends holidays diligent takes analytical approach perform realtime analyses skilled synthesising trends insights confident putting forth creative mitigation plans solutions security incidents role responsibilities monitor security systems perform audits reviews security control assessments tests security operations based established schedulesperform real time analysis trending security log data various security systemsanalyse security event data identify suspicious malicious activityprovide inputs improve security monitoring rules alertsdocument processes related security monitoring maintain security operations implement security protocolscreate emergency response proceduresmaintain data sources feeding log monitoring systemschedule security checks accordance reporting schedulesprepare periodic status reports presentation management respond security incidents review security incident reports evaluate type severity security events assist establishing procedures handling detected security eventsprovide status updates life cycle incidentcreate final incident report detailing events incident support maintenance update business recoverycontingency plans andor procedures provide user support respond user requests technical assistanceassess incident severityset clear user expectations issue resolution update users changes status issue resolutionmanage user accounts requirements diplomadegree computer science equivalentminimum years relevant working experiencepreferably id admin uam experiencerisk assessment experience good haveadded advantage knowledge security technology like firewall ips waf endpoint apply note takes minutes apply meaningful career healthtech go,26-Sep-2023,Computer Science:Defining Requirements:Security Monitoring:Security Protocols:Technical Assistance:Triage:Working Experience,"Firewall,Incident Reporting,Process Improvement,Security Log,User Accounts,Emergency Response,Security Controls,Security Technology,Security Systems,Triage,Log Monitoring,Security Devices,Security Policies,Computer Science,Mitigation,Management,Auditing","Firewall,Incident Reporting,Process Improvement,Security Log,User Accounts,Emergency Response,Security Controls,Security Technology,Security Systems,Triage,Log Monitoring,Security Devices,Security Policies,Computer Science,Mitigation,Auditing",Management
163,163,Security Engineer (Offensive Security) - Penetration Lab,3524196555,ByteDance,Singapore (On-site),198,Mid-Senior level,Full-time,Management:Other,"Technology, Information and Internet",responsibilities bytedance founded bytedances mission inspire creativity enrich life suite dozen products including tiktok helo resso well platforms specific china market including toutiao douyin xigua bytedance made easier fun people connect consume create content join us creation core bytedances purpose products built help imaginations thrive doubly true teams make innovations possible together inspire creativity enrich life mission aim towards achieving every day us every challenge matter ambiguous opportunity learn innovate grow one team status quo never courage always bytedance create together grow together thats drive impact company users serve join us security penetration lab team bytedance team missioned build infrastructures platforms technologies well support crossfunctional teams protect users products infrastructures team youll unique opportunity firsthand exposure strategy company key security initiatives especially building scalable securebydesign systems solutions challenges regular daytoday technical problems youll part team thats developing new solutions new challenges kind previously addressed big tech working fast scale making difference responsibilities continuously design conduct penetration testing determine infrastructure components systems applications meet confidentiality integrity authentication availability authorisation nonrepudiation standards stagingproduction environment translate requirements test plan write execute test scripts codes line standards procedures determine vulnerability attacks certify infrastructure components systems applications meet security standards identify risks actively take ownership resolve potential project issues conduct technical security reviews new products feature requirements provide security engineering support product teams help identify potential security flaws early stages sdlc collaborate closely parts security team product teams design defenseindepth controls limit attackers ability improve security postures continuously conduct security research strive innovate qualifications background computer science computer engineering information systems stem disciplines strong knowledge various disciplines web application security mobile app security cloud security thick client security solid experience writing reviewing code least one following programming languages javascript node js go python java c rust good project management skills focused teamwork preferred requirements ctf players live competitions hacking events experience cves excluding vulnerabilities xss csrf random cms preferred bugbounty experience reputable statistics hackerone bugcrowd etc bytedance committed creating inclusive space employees valued skills experiences unique perspectives platform connects people across globe workplace bytedance mission inspire creativity enrich life achieve goal committed celebrating diverse voices creating environment reflects many communities reach passionate hope,10-Sep-2023,Application Security:JavaScript:Programming:Python (Programming Language):Rust (Programming Language):Security Engineering:Test Planning:Test Scripts:Vulnerability:Vulnerability Assessment,"Fat Client,Security Engineering,Courage,Python (Programming Language),Cross-Site Request Forgery,Penetration Testing,Cloud Security,Project Management,Java (Programming Language),Scalability,HackerOne,Node.js (Javascript Library),Content Creation,Web Application Security,Authentications,Rust (Programming Language),Vulnerability,Computer Engineering,TikTok,JavaScript (Programming Language),Teamwork,Computer Science,C (Programming Language),Information Systems,Go (Programming Language),Creativity,Research,Test Planning,Systems Development Life Cycle,Writing","Security Engineering,Courage,Python (Programming Language),Cross-Site Request Forgery,Penetration Testing,Cloud Security,Java (Programming Language),Scalability,HackerOne,Node.js (Javascript Library),Content Creation,Web Application Security,Authentications,Rust (Programming Language),Vulnerability,Computer Engineering,TikTok,JavaScript (Programming Language),Computer Science,C (Programming Language),Information Systems,Go (Programming Language),Creativity,Research,Test Planning,Systems Development Life Cycle,Writing","Fat Client,Project Management,Teamwork"
164,164,Manager (Cybersecurity Technology and Incident Response),3718533176,PSA International Pte Ltd,"Singapore, Singapore (Hybrid)",119,Mid-Senior level,Full-time,Management:Information Technology:Business Development,"Transportation, Logistics, Supply Chain and Storage:Maritime Transportation",member teampsa part diverse global team forefront creating cargo solutions enable agile resilient sustainable supply chains experience firsthand drive supply chain transformation singapore psa’s global network ports logistics supply chain solutions alongside move world develop potential emphasise offer exciting rotations learning development opportunities fuel career aspirations complement business exposure across global networkdiverse equal opportunity build sustainable work culture people feel welcome valued respected able express ideas beliefs freely believe diversity thought approaches workplace makes us stronger teamcompetitive compensation benefits committed recognising rewarding contributions business benefits packages aim improve quality life providing support medical dental recreation among others job description psa group looking strong team playerleader passionate security least years experience cyber security around years cyber security experience technology management incident response forensics join growing group cyber security team beyond attractive remuneration gain wealth diverse experience exposure especially planningdesign future port terminal developments well possible stints overseas port terminals europe asia gain exposure realm cuttingedge cyberphysical systems experience supporting cyber ecosystem risk assessments security improvements enable future port development cargo solutions orchestration experience working cyber security regulated environment added advantage role reports head group cybersecurity psa international pte ltd key job scope willbe responsible along team members cybersecurity technology management cybersecurity engineering cybersecurity advisories vulnerability management event management incident management part overall global soc “gsoc” responsibilities across digital assets psa business classes units including ot iot iiotcontribute development technological incident management standards procedures guidelines alignment psa goals objectives across digital assetsperform threat intelligence monitoring watch new tactics techniques procedures well indicators exposure attack compromises cyber security spacedesign develop timely actionable vulnerability threat intelligence advisories business classes units provide vulnerability management remediation oversightdevelop improve incident response plans coordinate conduct participate incident drills forensic exercises tabletop exercises redpurple teaming exercisesperform cybersecurity incident response part larger team able provide level incident response support x oncall basisdesign deploy technological solutions architecture ot iiot establish demand aggregation consumption across business classes unitsperform cybersecurity threat modelling risk assessments various ot iiot architectures system network designs components job experience competencies one following good experience incident response forensics processgood experience knowledge performing cybersecurity threat modelling risk assessmentdesigned ot cybersecurity architecture maritime transport logistics industryconducted cybersecurity vulnerability threat intelligence analysis cybersecurity monitoring cybersecurity event analysis correlation incident response forensics investigationgood project management skills experience project planning management implementation cybersecurity frameworks nist isoprior maritime logistics transportation knowledge international experience would advantage requirements skillsmust least degree computer science related disciplinemust least years cybersecurity experiencemust good knowledge incident management forensics procedures eg gcih gcia gcfa gremgood knowledge cybersecurity architectural practices togaf sabsagood knowledge cybersecurity control frameworks pertaining cybersecurity eg nist csf iso etcgood knowledge ot cybersecurity frameworks guidelines nist sp isoiec good understanding cybersecurity maturity models cm cmmc cmmigood understanding threat modelling mitre attck associated frameworksgood understanding risk governance eg crisc cobit personalitiesstrong communication interpersonal analytical problemsolving skillsable work team well independentlywillingness handson groundwork adopt growth mindsetability handle workload peaks troughswillingness travel short noticegood project management skills certificationsgcih gcia gcfa grem mitre equivalent essentialtogaf sabsa equivalentsisaiec equivalentcrisc equivalentcissp cism equivalent,12-Sep-2023,COBIT:Certified Information Security Manager (CISM):Certified in Risk and Information Systems Control (CRISC):Cybersecurity:GCIH:Incident Management:Information Security:Project Management:Project Planning:SABSA,"Cyber Threat Intelligence,Vulnerability Management,Sherwood Applied Business Security Architecture,Threat Modeling,Incident Response,Cyber Security,IT Security Architecture,Technical Management,Digital Assets,Event Management,Communications,Forensic Sciences,Industrial Internet Of Things (IIoT),GIAC Certified Forensics Analyst,GIAC Certifications,Risk Analysis,Maritime Logistics,GIAC Certified Incident Handler,Certified In Risk And Information Systems Control,Supply Chain,Solution Architecture,The Open Group Architecture Framework (TOGAF),Resilience,Risk Governance,Problem Solving,Project Management,Learning Development,Certified Information Security Manager,GIAC Reverse Engineering Malware,Cyber Incident Response,Project Planning,Control Objectives For Information And Related Technology (COBIT),GIAC Certified Intrusion Analyst,Incident Management,NIST Cybersecurity Framework (CSF),Vulnerability,Cyber Engineering,Computer Science,Management,Agile Methodology,Internet Of Things (IoT)","Cyber Threat Intelligence,Sherwood Applied Business Security Architecture,Threat Modeling,Incident Response,Cyber Security,IT Security Architecture,Technical Management,Digital Assets,Event Management,Forensic Sciences,Industrial Internet Of Things (IIoT),GIAC Certified Forensics Analyst,GIAC Certifications,Risk Analysis,Maritime Logistics,GIAC Certified Incident Handler,Certified In Risk And Information Systems Control,Supply Chain,Solution Architecture,The Open Group Architecture Framework (TOGAF),Resilience,Risk Governance,Learning Development,Certified Information Security Manager,GIAC Reverse Engineering Malware,Cyber Incident Response,Control Objectives For Information And Related Technology (COBIT),GIAC Certified Intrusion Analyst,NIST Cybersecurity Framework (CSF),Vulnerability,Cyber Engineering,Computer Science,Agile Methodology,Internet Of Things (IoT)","Vulnerability Management,Communications,Problem Solving,Project Management,Project Planning,Incident Management,Management"
166,166,Security Engineer (Corporate IT),3621504658,Sea,"Singapore, Singapore (On-site)",160,Entry level,Full-time,Information Technology,"Technology, Information and Internet",job description research design test recommend deploy maintain security solutions ensuring tools associated processes continuously optimized effectivenessmonitor security alerts triage investigate mitigate escalate document security issuesdevelop advanced detection use cases alerts metrics dashboards reports tools automations documentations related work around incumbent security solutionsparticipate point contact standbyoncall roster critical security escalations requirements bachelor’s degree information security computer science related technical discipline equivalent professional experience related cybersecurityat least years professional experience computernetwork defense related cybersecurity roles experience security operations incident response plushandson experience intrusion analysis email analysis malware analysis incident response security engineeringstrong knowledge common operating systems windows linux andor macosgood knowledge common networkingweb technologies tcpip http smtp etcgood knowledge common security principles techniquesgood understanding security operations incident response processes plushandson experience relevant security tools plus identity access management endpoint detection response vulnerability management threat intelligence messagingemail securitystrong interpersonal leadership problemsolving skills ability play leading supporting rolesexcellent communication skills english spoken written reportwriting essential presentation skill plusinitiative resourceful enthusiastic eager learn fluid fastpaced environmentrelevant securityrelated certifications plus cissp gsec ceh cysa equivalent,26-Sep-2023,Cyber-security:Cybersecurity:Defense:Defining Requirements:Document Security:Incident Response:Knowledge Acquisition:Malware Analysis:Network Defense:Security Engineering,"Cyber Threat Intelligence,Vulnerability Management,Enthusiasm,Incident Response,Certified Ethical Hacker,GIAC Certifications,GIAC Security Essentials Certification (GSEC),Resourcefulness,Linux,TCP/IP,Malware Analysis,CompTIA Cybersecurity Analyst (CySA+),Problem Solving,Research Design,Triage,Cyber Security,Presentations,Certified Information Systems Security Professional,Identity And Access Management,Operating Systems,Computer Science,SMTP (Simple Mail Transfer Protocol),English Language,Leadership,Communications,Dashboard","Cyber Threat Intelligence,Enthusiasm,Incident Response,Certified Ethical Hacker,GIAC Certifications,GIAC Security Essentials Certification (GSEC),Resourcefulness,Linux,TCP/IP,Malware Analysis,CompTIA Cybersecurity Analyst (CySA+),Research Design,Triage,Cyber Security,Presentations,Certified Information Systems Security Professional,Identity And Access Management,Operating Systems,Computer Science,SMTP (Simple Mail Transfer Protocol),English Language,Dashboard","Vulnerability Management,Problem Solving,Leadership,Communications"
168,168,Security Pen Testing Engineer,3729811442,Synapxe,"Singapore, Singapore (Hybrid)",5,Entry level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,position overview description role responsibilities operate handson role involving penetration testing vulnerability assessment ict systems ie web mobile thick client networkplan create penetration testing methods scripts testscarry scoping activities identify components given system require penetration testingdefine test requirements criteria carry penetration testingcreate reports recommendations findings security issues level riskadvise methods fix lower security risks development teampresent findings risks conclusions stakeholdersautomate penetration testing activities save time effortbe mentor carry training sessions new joiners junior resources penetration testing activitiesinvolves security testing tools procurement activitieswork penetration testing process improvement areas requirements years relevant experience including penetration testing web application mobile thick client infrastructure applicationsbusiness risk along good reporting writing client presentation skills consulting experience within professional services organizationstrong analytical skills ability work independentlyhave strong sense responsibility towards delivery project objectivesequipped programming skills least one following programming languageenvironment sap abap net python ruby java regular expressionexperience healthcare industry added advantagemust ceh oscp crestcrt certificationsany certifications like osce cissp would advantagewould good team playerexcellent verbal written communication skills apply note takes minutes apply meaningful career healthtech go,29-Sep-2023,Client Presentation:Defining Requirements:Ethical Hacking:OSCP:Penetration Testing:SAP FICO:Scoping Studies:Test Requirements:Vulnerability Assessment:Web Applications,"Healthcare Industry Knowledge,Ruby (Programming Language),Python (Programming Language),Advanced Business Application Programming (ABAP),Fat Client,Security Testing,Analytical Skills,Certified Ethical Hacker,Presentations,Vulnerability Assessments,Penetration Testing,Offensive Security Certified Professional,Java (Programming Language),Writing,Certified Information Systems Security Professional,Consulting,Process Improvement,Information And Communications Technology,Go (Programming Language),Procurement","Healthcare Industry Knowledge,Ruby (Programming Language),Python (Programming Language),Advanced Business Application Programming (ABAP),Security Testing,Analytical Skills,Certified Ethical Hacker,Presentations,Vulnerability Assessments,Penetration Testing,Offensive Security Certified Professional,Java (Programming Language),Writing,Certified Information Systems Security Professional,Consulting,Process Improvement,Information And Communications Technology,Go (Programming Language),Procurement",Fat Client
169,169,Security Delivery Specialist,3711059862,Kyndryl,"Singapore, Singapore (Remote)",43,Entry level,Full-time,Management:Manufacturing,IT Services and IT Consulting,kyndryl market leader thinks acts like startup design build manage modernize missioncritical technology systems world depends every day work kyndryl always moving forward – always pushing go efforts build equitable inclusive world employees customers communities role passionate protecting companies cyber threats want part team safeguards digital assets cuttingedge organizations look – kyndryl seeking cybersecurity specialist join team talented technical specialists cybersecurity specialist forefront protecting kyndryls customers’ computer systems networks unauthorized access use disclosure disruption modification destruction use variety tools techniques defend wide range cyber threats malware ransomware phishing attacks data breaches thats – kyndryl also opportunity implement new cybersecurity systems policies ensure protection customers’ data assets monitor review potential threats various cybersecurity systems conduct proofofconcepts pocs new cyber security software evaluate effectiveness potential integration organizations systems responsible ensuring security kyndryls customers’ network systems also enrich organization’s knowledge towards potential cyber threats best practices provide automation scripts threat hunting customer environments using lessons learned cyberattacks also opportunity conduct penetration testing threat vulnerability assessments applications operating systems networks responding cybersecurity breaches identifying intrusions research evaluate cybersecurity threats perform root cause analysis assisting creation implementation security solutions additionally opportunity work area security innovation creating experimenting “outside box” ideas could change trajectory cyber security unique opportunity work cuttingedge technology part dynamic team make significant impact world cybersecurity youre challenge apply join kyndryls cybersecurity team future kyndryl every position kyndryl offers way forward grow career opportunities won’t find anywhere else including handson experience learning opportunities chance certify four major platforms whether want broaden knowledge base narrow scope specialize specific sector find opportunity you’re good possess required experience prove however equally important – growth mindset keen drive personal professional development customerfocused – someone prioritizes customer success work finally you’re open borderless – naturally inclusive work others required skills experience years experience cybersecurity fieldexpertise network routing switching network troubleshooting engineering infrastructure load balancing virtual private networksproficiency cloud computing security architecture hybrid multicloud computing various cloudbased systems servicesfamiliar vulnerability scanning application security penetration testing encryption threat modeling identity access management secure codinggood knowledge cyber security incident response security operations vulnerability management security architecture risk management cyber threat hunting cyber security standards preferred skills experience valid current certification equivalent experience one following cissp comptia security certified cloud security professional giac security essentialssecurity operations center experiencesecurity tooling endpoint detection response edrsecurity information event management siemantivirus vulnerability management scanning remediationtechnical architecture skillsexperience advising c suitefamiliarity devsecops practices methodologies experience integrating security agile development processesfamiliarity emerging security technologies trends artificial intelligencemachine learning security zero trust architecture secure remote access solutions diversity whole lot look like come it’s think welcome people cultures backgrounds experiences we’re singlehandily kyndryl inclusion networks one many ways create workplace kyndryls find provide support advice dedication welcoming everyone company means kyndryl gives – everyone next – ability bring whole self work individually collectively support activation equitable culture that’s kyndryl way expect stateoftheart resources fortune clients every day opportunity innovate build new capabilities new relationships new processes new value employee learning hub gives access best learning industry receive certifications accreditations including microsoft university aws cloud center excellence udemy harvard business review companywide volunteering giving platform donate start fundraisers volunteer search million nonprofit organizations kyndryl invest heavily want succeed together succeed,27-Sep-2023,Certification Testing:Cloud Security:CompTIA:Cyber Threat Hunting (CTH):Cyber-security:Cybersecurity:GIAC:Information Security:Job Skills:Security Operations,"GIAC Certifications,Cyber Incident Response,Load Balancing,Vulnerability Management,DevSecOps,Cloud Security,Cyber Threat Intelligence,Vulnerability Assessments,Agile Methodology,Multi-Cloud,Cyber Security,CompTIA Security+,Digital Assets,Phishing,Event Management,Secure Remote Password Protocols,Cyber Security Standards,Encryption,Cyber Threat Hunting,Network Routing,Penetration Testing,Network Troubleshooting,Root Cause Analysis,Certified Cloud Security Professional (CCSP),Cyber Security Systems,Application Security,Certified Information Systems Security Professional,Customer Success Management,Threat Modeling,Growth Mindedness,IT Security Architecture,Identity And Access Management,Operating Systems,Risk Management,Vulnerability Scanning,Operations,Amazon Web Services,Automation,Advising,Innovation,Research,Tooling","GIAC Certifications,Cyber Incident Response,Load Balancing,DevSecOps,Cloud Security,Cyber Threat Intelligence,Vulnerability Assessments,Agile Methodology,Multi-Cloud,Cyber Security,CompTIA Security+,Digital Assets,Phishing,Event Management,Secure Remote Password Protocols,Cyber Security Standards,Encryption,Cyber Threat Hunting,Network Routing,Penetration Testing,Network Troubleshooting,Root Cause Analysis,Certified Cloud Security Professional (CCSP),Cyber Security Systems,Application Security,Certified Information Systems Security Professional,Customer Success Management,Threat Modeling,Growth Mindedness,IT Security Architecture,Identity And Access Management,Operating Systems,Vulnerability Scanning,Operations,Amazon Web Services,Automation,Advising,Innovation,Research,Tooling","Vulnerability Management,Risk Management"
171,171,Cybersecurity Policy Development,3727512799,GovTech Singapore,"Singapore, Singapore",3,Mid-Senior level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,job description summary government technology agency govtech lead agency driving singapore’s smart nation initiatives public sector digital transformation centre excellence infocomm technology smart systems ict ss govtech develops singapore government’s capabilities data science artificial intelligence application development smart city technology digital infrastructure cybersecurity govtech offer purposeful career make lives better empower people master craft continuous robust learning development opportunities year round govtechies embody agile bold collaborative values deliver impactful solutions govtech aims transform delivery government digital services taking outsidein view putting citizens businesses heart everything play part singapore’s vision build smart nation embark meaningful journey build tech public good join us advance mission shape future us today learn govtech techgovsg working lead support formulation progressive ict security policies ensure continuous relevant protection government ict assets develop assess review existing proposed policies collaboration stakeholders govern cyber activitiespromote awareness security issues communicate security principles among management stakeholdersaddress policy queries assess exemption requests ascertain relevance preventive detective controls reduce risk exposurework operational implementation teams identify qualify quantify agree proposed mitigation plans identified risks risks captured mitigation plansconduct measurement security health posture agencies provide analytical studies trending key risk indicatorssupport limited scale security projects system vulnerability assessments audits cyber programs requiredfind creative ways take address complex information security challenges across variety existing emerging technologies digital environments looking degree infocomm security computer science computerelectronics engineering information technologypossess cissp andor cisa certifications would advantageat least years’ relevant inforcomm security consulting project management andor audit governanceknowledge security management principles practicesexperience one following areas advantage policy compliance governance risk assessment solutioning network design application development internet things cryptography hardware design protection mobile applicationdevice management cloud hosting design implementation awsazuregoogle devsecops consulting design implementation cicd pipelines etcknowledge experience imnistis policies standardssingapore citizen govtech equal opportunity employer committed fostering inclusive workplace values diverse voices perspectives believe diversity foundation innovation employee benefits based total rewards approach offering holistic marketcompetitive suite perks include leave benefits meet worklife needs employee wellness programmes champion flexible work arrangements subject job role trust manage time deliver best wherever whatever works best learn life inside govtech gogovsggovtechcareers stay connected us social media gogovsgconnectwithgovtech,27-Sep-2023,IT Audit:Security Consulting:Security Policy:Vulnerability:Vulnerability Assessment,"Cryptography,Certified Information System Auditor (CISA),Digital Transformation,DevSecOps,Smart Systems,Vulnerability Assessments,Network Planning And Design,Application Development,Cloud Hosting,Data Science,Emerging Technologies,Time Management,Security Management,Project Management,Learning Development,Cyber Security,Certified Information Systems Security Professional,Consulting,Risk Analysis,Artificial Intelligence,Hardware Design,CI/CD,Security Policies,Computer Science,Management,Governance,Auditing,Mitigation,Innovation,Agile Methodology","Cryptography,Certified Information System Auditor (CISA),Digital Transformation,DevSecOps,Smart Systems,Vulnerability Assessments,Network Planning And Design,Application Development,Cloud Hosting,Data Science,Emerging Technologies,Security Management,Learning Development,Cyber Security,Certified Information Systems Security Professional,Consulting,Risk Analysis,Artificial Intelligence,Hardware Design,CI/CD,Security Policies,Computer Science,Governance,Auditing,Mitigation,Innovation,Agile Methodology","Time Management,Project Management,Management"
