,Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills,Extracted Skills
226,Assistant Manager (Cybersecurity Architecture),3688527878,DFI Retail Group,"Singapore, Singapore (Hybrid)",114,Mid-Senior level,Full-time,Information Technology,Retail,dfi company briefdfi retail group leading panasian retailer operates across four broad formats food including supermarkets hypermarkets convenience stores health beauty home furnishings restaurants group operations markets operates multiple formats markets satisfy different customer segments trades well recognised brands dfi team briefcybersecurity serves key function design review dfis security architecture enforcement security policy team direct immediate impact building trust stakeholders business partners supporting business growth job descriptionthis role assist organization design review security architecture drive enforce security policy incumbent also assist building necessary capabilities security governance technology enablement collaborate country teams ensure information risk security segregation duties compliance awareness buried day day business heshe play significant role rationalizing prioritizing enterprise security governance supporting dairy farm business strategy role direct immediate impact ultimate purpose building business trusted information security risk management community improve sustain technology control environment supporting dairy farm group business growth key responsibilitiesinfrastructure architecture design reviewdevelop maintain cyber security architecture design frameworkfacilitate technology assessment across cybersecurity including application security cloud security policy complianceassist review key digital applications core systems including authentication authorization auditinglead design build security reference architecture security blueprintsdevelop maintain security architecture artifactsact security sme review implementation design application infrastructure team meet industry security standardsenforce infrastructure application security framework provide security assessmentswork key technology leaders including software data infrastructure security standards architecture designrequirementsrole specific technical competenciesbasicbachelors degree equivalent experience required years experience itcyber securittechnicalcore competencies itsecurity infrastructuresecurity framework eg cobit nist iso etc essentialexposure cloud network automation infrastructure would great pluspossesses ready knowledge security policies standards procedures frameworks development implementation updateability learn assimilate information quickly apply riskthreatvulnerability control considerations method impact multiple dimensions business subsequent downstream decisionsone following qualification equivalent preferred cisa cissp cism ccna ccnp mcp andor ccsptechnicaltechnology vendor evaluation management experiencepersonal attributesconversant articulating technicaltechnology functional terms layman contextgood verbal written english mandarin cantonese communication skills across levels personnel adequately represent business articulating implications audit cybersecurity incidenthigh engagement cando attitudecritical thinking skills strong attention detail follow updemonstrated ability selfmanagingbalancing multiple prioritiesresponsibilities may change time timestrong analytical problemsolving skillshigh degree professionalism personal integrityability work high degree independencecollaborative team playerpossess strong systematic problemsolving experience sense accountability ownership drivematurity high judgement negotiation skills ability influenceand analytical talent essential success roleexpert collaboratively managing diverse relationships across geography culture,13-Sep-2023,Analytical Skills:Attention to Detail:Business Growth:Certified Information Security Manager (CISM):Critical Thinking:Cybersecurity:ISO 27001:Problem Solving:Professional Skills:Skill Development,"Certified Information System Auditor (CISA),Data Infrastructure,Written English,Relationship Building,Cisco Certified Network Associate,Cyber Security,Security Policies,Cantonese Chinese,Network Automation,Professionalism,Reference Architecture,Microsoft Certified Professional,Enterprise Security,Cloud Security,Problem Solving,Accountability,Application Security,Certified Information Systems Security Professional,Dairy Farming,Organizational Architecture,Cisco Certified Network Professional,Business Strategies,Authentications,Control Objectives For Information And Related Technology (COBIT),IT Security Architecture,Technology Assessment,Design Reviews,Architectural Design,Risk Management,Authorization (Computing),Governance,Certified Information Security Manager,Management,Operations,Mandarin Chinese,Communications,Negotiation,Auditing"
227,Senior/Cybersecurity Engineer (Application Security),3671470455,GovTech Singapore,"Singapore, Singapore (Hybrid)",25,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,government technology agency govtech lead agency driving singapore’s smart nation initiatives public sector digital transformation centre excellence infocomm technology smart systems ict ss govtech develops singapore government’s capabilities data science artificial intelligence application development smart city technology digital infrastructure cybersecurity govtech offer purposeful career make lives better empower people master craft continuous robust learning development opportunities year round govtechies embody agile bold collaborative values deliver impactful solutions govtech aims transform delivery government digital services taking outsidein view putting citizens businesses heart everything play part singapore’s vision build smart nation embark meaningful journey build tech public good join us advance mission shape future us today learn govtech techgovsg role clusters technology management office ctmo spearheading adoption leading application security appsec practices standards solution fundamentally secure application software developed various application projectproduct teams senior cybersecurity engineer responsible planning appsec roadmap standardisation appsec practices solutions delivery appsec professional services application teams appsec professional services range providing projectbased appsec consultancy delivery security assessments training govtech officers uplift appsec capabilities working study propose appsec roadmap uplift way apps security practised today develop secure application development practices standards guidelines solutions aim standardise raise appsec practices application teams develop appsec requirement specifications adopted application development maintenance tenders baseline application security requirements contractorspromote adoption leading appsec practices solutions among agency apps teams line current development appsec spaceperform appsec assessments selected applications using combination threat modelling vulnerability research code scanning application security testing recommendation proper remediation actionsdefine communication education framework raise appsec awareness capabilities competencies govtech officerssupport security roles andor initiativesassignments undertaken ctmo senior ctmo officer looking degree computercomputer science electronics engineering information technology equivalentminimum years work experience least years relevant experience web mobilebased application securitycertification cissp certified information systems security professional andor cisa certified information systems auditor plusstrong interest passion field infocomm security specifically area application securityfamiliar application security review testing approachesmethodologies waterfall agile application developmentfamiliar concept cicd devops security testings integrated automated part software delivery pipelines able recommend use appropriate appsec tools eg static code scanners dynamic scanners etc assist apps teams adopting tools strong problemsolving troubleshooting skillsexperience penetration tester source code reviewer added advantageable work hour shift duty crisis periodsproactive selfstarter analytical creative mindresult customer oriented multitasking capabilitiesexcellent written verbal communication presentation negotiation skills govtech equal opportunity employer committed fostering inclusive workplace values diverse voices perspectives believe diversity foundation innovation employee benefits based total rewards approach offering holistic marketcompetitive suite perks include leave benefits meet worklife needs employee wellness programmes champion flexible work arrangements subject job role trust manage time deliver best wherever whatever works best learn life inside govtech gogovsggovtechcareers stay connected us social media gogovsgconnectwithgovtech,13-Sep-2023,Application Security:Cyber-security:Cybersecurity:Network Security:Professional Services:Requirement Specifications:Vulnerability Assessment:Working Experience,"Certified Information System Auditor (CISA),Digital Transformation,Electronic Engineering,Smart Systems,Planning,Application Development,Data Science,Threat Modeling,Technical Management,Waterfall Methodology,Communications,Time Management,Secure Application Development,Penetration Testing,Problem Solving,Cyber Engineering,Multitasking,Verbal Communication Skills,Learning Development,Certified Information Systems Security Professional,Application Security,Cyber Security,Delivery Pipelines,DevOps,Application Security Testing,Artificial Intelligence,CI/CD,Information Technology,Vulnerability,Innovation,Agile Methodology,Troubleshooting (Problem Solving),Auditing,Negotiation,Research"
228,Senior Cybersecurity Engineer (Cloud Security),3668360149,GovTech Singapore,"Singapore, Singapore (On-site)",18,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,role government technology agency govtech lead agency driving singapore’s smart nation initiatives public sector digital transformation centre excellence infocomm technology smart systems ict ss govtech develops singapore government’s capabilities data science artificial intelligence application development smart city technology digital infrastructure cybersecurity govtech offer purposeful career make lives better empower people master craft continuous robust learning development opportunities year round govtechies embody agile bold collaborative values deliver impactful solutions govtech aims transform delivery government digital services taking outsidein view putting citizens businesses heart everything play part singapore’s vision build smart nation embark meaningful journey build tech public good join us advance mission shape future us today learn govtech techgovsg work govtech’s government digital services gds aims spearhead digital transformation government part progressive group join multidisciplinary team modernize way digital applications services developed deployed maintained across wholeofgovernment objective augment engineering teams platforms services shortens timetomarket improves operational agility employ devops principles ‘shiftleft’ technologies creating solutions areas like continuous integrationdeployment data sharing well applications observability testing security looking opportunities collaborate industry experts work highly motivated peers welcome join us exciting position many opportunities groundbreaking contributions consultant team knows needs place enable platform work managing security risks working senior cybersecurity consultant security team work stakeholders developers infrastructure platform engineers etc achieve security objectives agile settinglead coordinate plan timely security assessmentsconduct security risk assessments various levels – application infrastructure network etcexplore implement andor use security tools required meet security objectiveswork infra engineers developers remediate security risks assessmentsconsolidate report metrics security risk assessmentsreview manage change requests security risk perspective agile settingenhance visibility track security assessments ticketing tools looking minimum years’ experience cybersecurity consultancy related scope workpassion driving devsecops andor devops transformationpassion automation security best practicesexperience architecting using cloud providers like aws gcp azureexperience source code review enterprise settingexperience penetration testing enterprise settingexperience devops toolset like jira bitbucket confluenceexperience agile methodologiesadded advantage possess following experience security tools enterprise setting hashicorp vault splunk enterprise tenable hp fortify sonatype nexus iqexperience security assessments pertaining government projectssecurity certifications qualifications govtech equal opportunity employer committed fostering inclusive workplace values diverse voices perspectives believe diversity foundation innovation employee benefits based total rewards approach offering holistic marketcompetitive suite perks include leave benefits meet worklife needs employee wellness programmes champion flexible work arrangements subject job role trust manage time deliver best wherever whatever works best learn life inside govtech gogovsggovtechcareers stay connected us social media gogovsgconnectwithgovtech,23-Sep-2023,Change Requests:Cyber-security:Cybersecurity:Cybersecurity Tools,"Digital Transformation,DevSecOps,Smart Systems,Self-Motivation,Application Development,Data Science,Splunk,Risk Analysis,Time Management,Bitbucket,JIRA,Penetration Testing,Teamwork,Change Requests,Learning Development,Observability,Cyber Security,DevOps,Artificial Intelligence,Code Review,Data Sharing,Sonatype,Amazon Web Services,Agile Methodology,Automation,Innovation"
229,Senior Network Security Engineer - GSO (Singapore),3680978917,TikTok,Singapore,18,,Full-time,Management:Other,Entertainment Providers,responsibilities tiktok leading destination shortform mobile video mission inspire creativity bring joy tiktok global offices including los angeles new york london paris berlin dubai singapore jakarta seoul tokyo join us creation core tiktoks purpose platform built help imaginations thrive doubly true teams make tiktok possible together inspire creativity bring joy mission believe aim towards achieving every day us every challenge matter difficult opportunity learn innovate grow one team status quo never courage always tiktok create together grow together thats drive impact company communities serve join us global security organization ensures bytedances worldwide security privacy four guiding principles trust transparency innovation catalyst informed decisionmaking proactive risk reduction reporting network security lead youll join security operations team responsible various security functions role network security operations specialist involves supporting deployment management technologies safeguard data comply regulations enhance security youll work team monitor global infrastructure improve technology platforms design security controls contributes creating secure environment tiktoks infrastructure technologies services tasks responsibilities support formulation execution enterprisewide network security initiatives establish technical functional prerequisites configuring deploying network security tools architect continually enhance security technology stack processes procedures support structure crossfunctional interactions create standard operating procedures training materials technology evaluate appraise utilization network security toolsets champion promote adoption network security tools across entire organization develop present metrics outlining network security coverage remediation plans cultivate maintain robust vendor relationships ongoing support network security tools establish protocols validate effectiveness security controls design deployment management ensuring preservation network technology platform confidentiality integrity availability implement oversee global network security infrastructure encompassing firewalls ddos mitigation vpn ipsids systems egress filtering edge security cryptography web application security qualifications knowledge skills thrives pressure adhering time budget constraints adept swiftly adapting changing priorities making informed decisions uncertain situations skilled navigating risks complex ambiguous scenarios proven ability collaborate effectively within team highly motivated make meaningful contributions advance rapidly evolving field significance capable conveying technical concepts technical nontechnical individuals solid comprehension analyzing numeric data applying statistical principles proficiency operating maintaining tools within network security technology stack minimum qualifications bachelors degree equivalent work experience cybersecurity security architecture related fields within converged security program possess minimum years relevant work experience demonstrate capability rapidly acquire new knowledge stay uptodate latest developments cybersecurity industry trends exhibit high level integrity trustworthiness along ability lead inspire change proficiency utilizing network diagnosis packet analysis tools strong knowledge routing switching technologies including tcpip bgp ospf eigrp others passion delivering exceptional customer service coupled keen attention detail precision indepth expertise following areas network detection response microservice architecture web application firewalls perimeter security configuration network hostbased firewalls preferred qualifications cissp sscp cap ccsp cism csxp applicable experience information security field ccnaccnp pcnse aws networking security related cloud networkingsecurity certifications plus experience using one programmingscripting languages eg python go java etc familiarity source code management tools eg github bitbucket familiarity securing data across saas iaas cloud platforms eg aws google cloud platform familiarity securing data across multiple database technologies eg mysql redis hive able handle ambiguity collaborate global team comfortable communicating business executives technical teams tiktok committed creating inclusive space employees valued skills experiences unique perspectives platform connects people across globe workplace tiktok mission inspire creativity bring joy achieve goal committed celebrating diverse voices creating environment reflects many communities reach passionate hope,13-Sep-2023,Border Gateway Protocol (BGP):EIGRP:Internet Protocol Suite (TCP/IP):Knowledge Acquisition:Open Shortest Path First (OSPF):Packet Switching:Security Operations:Service Work:Sniffer:Web Application Firewalls,"Infrastructure As A Service (IaaS),Cryptography,Vendor Relationship Management,MySQL,DDoS Mitigation,Self-Motivation,Systems Security Certified Practitioner,Github,Courage,Virtual Private Networks (VPN),TCP/IP,Standard Operating Procedure,Python (Programming Language),Risk Reduction,Security Controls,Dealing With Ambiguity,Bitbucket,Network Security,Enhanced Interior Gateway Routing Protocols,Security Technology,Materials Technology,Java (Programming Language),Border Gateway Protocol,Redis,Trustworthiness,Cyber Security,Certified Information Systems Security Professional,Microservices,Web Application Security,Amazon Web Services,Packet Analyzer,Open Shortest Path First (OSPF),Firewall,Google Cloud Platform (GCP),Network Infrastructure,Infrastructure Security,IT Security Architecture,TikTok,Apache Hive,Version Control,Network Routing,Go (Programming Language),Creativity,Certified Information Security Manager,Management,Communications,Software As A Service (SaaS),Operations,Innovation,Customer Service,Certified Cloud Security Professional (CCSP),Cisco Certified Security Professional"
230,"Cloud Security Architect, ASK",3682732692,Check Point Software Technologies Ltd,"Singapore, Singapore",42,,Full-time,Information Technology,Computer and Network Security:Software Development:IT Services and IT Consulting,team check point check point’s mission provide industryleading security solutions redefine security landscape achieve mission constantly developing innovative cutting edge technology solutions focused real customer needs challenging grow excel want part fascinating fast growing cyber security industry unique talent value recognized check point software technologies want join become part success story secures tens thousands organizations sizes around globe join check point’s leading sales team take career one step ahead career graph check point looking exceptional talented experienced individual join leadership team drive strategic sales engagements provide thought leadership cloud security devsecops business apac help accelerate secure customers’ cloud journey impact responsibilities impact create responsibilities cloud security engineer join exciting high growth business unit check point offering industry’s comprehensive cloud native security platform industry’s broadest security compliance coverage applications data entire cloud native technology stack throughout development lifecycle across hybrid multicloud environments role responsible providing presales technical support cloudguard security solutions born cloud bitc cloud focused customers expected deliver exceed sales targets alignment company strategies tactics cloud provider partnerships working closely cloud sales team identify qualify sales opportunitiesdriving check point cloudguard sales customers using public clouds azure aws andor googleresponding rfis rfpsconducting proof conceptproviding training technology updates seminars workshop main partners prospectsproject management reportingproduct solution presentationsactive participation security events trade showsworking closely product management team hq develop road map knowledge skills bring day one minimum years relevant engineering andor presales experiencestrong skills engagement influence broad audience including clevel cloud security architects devops architects software development teamscollaboration skills feedback cooperation internal engineeringexperience developerfacing outboundfacing role ability explain strategic tactical concepts teams modernizing applications digital cloud migration journeysexcellent communication skills written verbal ability communicate around private data center public cloud adoption legacy applications modernization concepts cloud native micro service benefits technical nontechnical audiencesskills act subject matter expert trusted advisor existing potential customers partnerspractical experience security architect developer advocate cloud solutions architect senior devops architect presalescustomer success engineering managerleadability conversations executives credibly map technical conversationaround solutions features technical audiencesdemonstrated thought leadership experience creating technical contenttrack record conference meetup speakerability write produce deliver technical content blogs podcasts videos webinars ebooks thatinfluence share drive conversations via digital marketing social mediaengineering computer science bachelor’s degree years relevant industry experience masters phd plus youll get return exposure exciting awardwinning technologies cyber security industryopportunity fulfill potential rolling creative ideas projectswork build longlasting relationship team brilliant peopleengage influence technology cloud security devsecops spacehelp build safe secure digital environment people consume sounds like ideal role wait apply,14-Sep-2023,Cloud Migration:Presales,"DevSecOps,Microsoft Azure,Cloud-Native Computing,Multi-Cloud,Cyber Security,Influencing Skills,Thought Leadership,Product Management,Advocacy,Public Cloud,Cloud Security,Technology Solutions,Cloud Migration,DevOps,Solution Architecture,Computer Science,Amazon Web Services,Cooperation,Management,Leadership,Software Development,Blogs,Innovation,Communications,Web Conferencing,Presales,Sales,Technical Support,Digital Marketing,Podcasting"
231,Institution Business Analyst (Cluster Office),3685780648,Synapxe,"Singapore, Singapore (Hybrid)",10,Mid-Senior level,Full-time,Research:Analyst:Information Technology,IT Services and IT Consulting,synapxe formerly known ihis participating jobstreet seek career fair aug mbs level hall b booth p come chat us position overview seeking highly skilled experienced lead join incubator office strong analytical skills strategic thinking ability collaborate crossfunctional teams pivotal identifying evaluating new opportunities supporting decisionmaking processes ensuring overall success incubation initiatives strong leadership technical acumen ability drive innovation essential ensuring success incubation initiatives role responsibilities provide guidance national health group nhg ensuring projectssystems comply security policies relevant legal regulatory frameworks pdpa cybersecurity act throughout product lifecycleperform risk management including identification assessment provide treatment security risks associated systems handled national health group risk assessment performed accordance organisation’s cybersecurity risk management frameworkprovide guidance nhg related vulnerability assessments source code review penetration tests remediation actions undertaken nhg within agreed timelinesperform security threat modelling review security assessment reports vulnerability assessment penetration testing source code reviewprovide itcyber security consulting advisory updates institutions ensure rfp compliance security requirementsreview itcyber security architecture design developed solution enterprise security architect recommend enhancementprovide risk guidance evaluation recommendation security principles projects perform cybersecurity assurance activities across different stages solution development life cycle sdlc ensure solution securedbydesign sdcl infrastructure andor software application projectevaluate risks related supplychain thirdparty vendors products recommend mitigating measuresperform assessments technical security controls implementation within system solution determine overall effectiveness controlsparticipate active member review panel solution review board srb risk management working group requirements degree computer science information systems engineering equivalentat least years itcyber security experience areas security governance risk management application software security design development security project management security operationexperience healthcare industry mdotiomt security advantagestrong risk management risk articulation skillsprofessional security certification preferable cissp cism cisa ccsp similar security certificationsa strong working knowledge application security secure coding development toolstechnical background windowsunix os security technologies cloud technologies software development network architectureselfmotivated ability work independently team member minimal directionstrong interpersonal stakeholder management skills good written communication skills apply note takes minutes apply meaningful career healthtech go,28-Sep-2023,Business Solutions Development:Cyber Risk Management:Cybersecurity:Defining Requirements:Incubation:Performance Motivation:Security Controls:Security Operations:Stakeholder Management:Vulnerability Assessment,"Systems Engineering,Technical Acumen,Healthcare Industry Knowledge,Certified Information System Auditor (CISA),Vulnerability Assessments,Analytical Skills,Threat Modeling,Penetration Testing,Governance,Security Controls,Patient Treatment,Enterprise Security,Strategic Thinking,Stakeholder Management,Project Management,Cloud Technologies,Writing,Application Security,Cyber Security,Certified Information Systems Security Professional,Consulting,Risk Analysis,Cyber Risk,Software Development,IT Security Architecture,Software Security,Code Review,Secure Coding,Risk Management,Security Policies,Computer Science,Management,Innovation,Certified Information Security Manager,Leadership,Request For Proposal,Certified Cloud Security Professional (CCSP),Software Development Life Cycle,Systems Development Life Cycle,Mortgage-Backed Securities,Operating Systems"
232,Cloud Security Architect,3709341036,Check Point Software Technologies Ltd,"Singapore, Singapore (Hybrid)",103,Mid-Senior level,Full-time,Information Technology:Consulting:Customer Service,Computer and Network Security,world’s leading vendor cyber security facing sophisticated threats attacks we’ve assembled global team driven creative innovative people check point employees redefining security landscape meeting customers’ realtime needs providing cuttingedge technologies services evergrowing customer baseif want make world safer place – belong us rolehandson presales cloud activityprovide technical presales assistance assigned customers partnersdevelop existing new accounts conjunction sales repsrespond rfis rfpstechnical product solution presentationsactive participation security events trade showsdevelop solution translating customer’s business requirements integrated technical solutiontechnically close complex competitive opportunities advanced competitive knowledge technical skill credibilityidentify revenue impacting support escalations engage proactively required parties internal external ensure timely resolution satisfactory resolutionwork independently collaboratively sales management exercising judgment developing people technical requirements evaluation criteriaproactively engage communicate product management business units sales marketingbroad understanding cloud security engineering landscape security industry past present future looking forminimum years relevant experience channel partner itsecurityfunction customer another vendor itsecurity industrygood understanding securityresult oriented actiondrivenwellversed cloud architecturesworking knowledge understanding cloud technologies public cloud providers aws azure google cloudrelevant professional certifications aws azure google cloud etcknowledge container modern technologies dockers kubernetes aws ecs google cloud anthos bonusexperience navigating dynamic virtual organizations plus youll get returnexposure exciting awardwinning technologies cyber security industryopportunity fulfill potential rolling creative ideas projectswork build longlasting relationship team brilliant people,04-Sep-2023,Cloud Computing:Cloud Security:Presales,"Microsoft Azure,Training And Development,Cyber Security,Kubernetes,Product Management,Cloud Security,Business Requirements,Cloud Technologies,Amazon Elastic Container Service,Sales Management,Public Cloud,Google Cloud Platform (GCP),Sales,Amazon Web Services,Innovation"
233,Product Solutions Architect - Enterprise Security,3696063071,ByteDance,Singapore,32,Mid-Senior level,Full-time,Information Technology:Product Management:Engineering,"Technology, Information and Internet",responsibilities bytedance founded bytedances mission inspire creativity enrich life suite dozen products including tiktok helo resso well platforms specific china market including toutiao douyin xigua bytedance made easier fun people connect consume create content join us creation core bytedances purpose products built help imaginations thrive doubly true teams make innovations possible together inspire creativity enrich life mission aim towards achieving every day us every challenge matter ambiguous opportunity learn innovate grow one team status quo never courage always bytedance create together grow together thats drive impact company users serve join us team enterprise security team dedicated elevating level cybersecurity fully support bytedance well clients digital journey aim high building nextgeneration cybersecurity rooted years practical experience enterprise security domain within bytedance team runs business provide comprehensive set security capabilities help clients develop zero trust network access ztna architecture simplicity convenience team agile efficient open idea matters expanding southeast asia markets join us part excitement making real difference responsibilities follow industry key customers organize industry benchmark cases typical scenario cases develop cuttingedge solutions technical expert provide consulting services partners demonstrate product functions necessary familiar needs customers asiapacific market identity management remote working zero trust understand evolution related technologies market pattern related industries promote product planning write promotion process corresponding solution according customer project schedule qualifications least years working experience experience product solution architect security industry understand technical principles endpoint security remote working zero trust data leakage prevention intranet access familiar linux common commands basic knowledge computer networks strong ability analyze solve problems bytedance committed creating inclusive space employees valued skills experiences unique perspectives platform connects people across globe workplace bytedance mission inspire creativity enrich life achieve goal committed celebrating diverse voices creating environment reflects many communities reach passionate hope,15-Sep-2023,Amazon Web Services (AWS):Computer Networking:Data Leakage:Endpoint Security:Intranet:Linux:Presales:Problem Solving:Product Planning:Solution Architecture,"Computer Networks,Solution Architecture,Access Network,Planning,Courage,Data Loss Prevention,Endpoint Security,Linux,Project Schedules,Enterprise Security,Cyber Security,Content Creation,Consulting,Identity And Access Management,Product Promotion,TikTok,Creativity,Agile Methodology"
234,"Cybersecurity Legal Counsel (Bangkok Based, Relocation Support Provided)",3674609938,Agoda,"Singapore, Singapore",54,Associate,Full-time,Legal,"Technology, Information and Internet",agoda agoda online travel booking platform accommodations flights build deploy cuttingedge technology connects travelers million accommodations globally based asia part booking holdings employees representing nationalities foster work environment rich diversity creativity collaboration innovate culture experimentation ownership enhancing ability customers experience world get know team age technology things constantly changing travel market much dynamic complex ever agoda’s legal team well suited take challenges presented adopting proactive mindset tackle challenges solve problems quick feet decisive collaborate multiple departments hire outofthebox thinkers well grounded ethics legal knowledge ensure agoda achieves right results right way opportunity cybersecurity legal counsel – part leading innovative team responsible legal risk areas data privacy cybersecurity artificial intelligence key areas focus legal incident response working closely security team lead legal response information security cyber events includes relevant notification regulators impacted data subjects otherwise constantly improve incident response policy protocolscybersecurity contract negotiation auditing working closely compliance team contract security related negotiations clauses cybersecurity related auditsregulatory change management new cybersecurity laws data protection laws includes leading projects compliance laws may include relevant areas data localization looking solutionoriented team player international mindset sense intercultural understanding takes initiative able build strong relationships fluent english somebody interest aptitude build career cybersecurity law great opportunity successful candidate years work experience lawyer preferably international environmenthas degree law respected universitylaw schoolhas experience incident response relation cyber eventsis proactive team player agoda’s legal department interacting crossteam commercial legal compliance product also departments securityhas experience cybersecurity laws data localization requirementssome experience auditing including nist cybersecurity frameworkhas handson approach work afraid roll sleeveshas exceptional time management skills flexibility work outside typical working hours cyber eventsis able relocate bangkok thailand offer dynamic role fastgrowing team reputable global companyworking international environmentgreat opportunities development cybersecurity data privacy artificial intelligence working personal team flexibly minded highly skilled professionals lgl bangkok singapore amsterdam hong kong london paris berlin frankfurt taiwan seoul india china newyork chicago boston berlin amsterdam dublin edinburgh philippines malaysia kualalampur jakarta hongkong delhi newdelhi bangalore mumbai manila equal opportunity employer agoda pride company represented people different backgrounds orientations prioritize attracting diverse talent cultivating inclusive environment encourages collaboration innovation employment agoda based solely person’s merit qualifications committed providing equal employment opportunity regardless sex age race color national origin religion marital status pregnancy sexual orientation gender identity disability citizenship veteran military status legally protected characteristics keep application file consider future vacancies always ask details removed file details please read privacy policy recruitment agencies agoda accept third party resumes please send resumes jobs alias agoda employees organization location agoda responsible fees related unsolicited resumes,25-Sep-2023,Build Strong Relationships:Competition Law:Cyber-security:Cybersecurity:Data Privacy:Framework Design:Incident Response:NIST,"Negotiation,Decisiveness,Incident Response,Tourism Market,Ethical Standards And Conduct,Contract Negotiation,Proactivity,Legal Risk,Cyber Security,Regulatory Compliance,Change Management,Information Privacy,Legal Knowledge,Artificial Intelligence,Data Localization,Creativity,Innovation,English Language,Time Management,Auditing,Booking (Sales),Team Leadership"
235,SVP Cyber Security (Endpoint),3709927232,Ethos BeathChapman,"Singapore, Singapore (On-site)",60,,Full-time,Information Technology:Management,IT Services and IT Consulting,senior vice president cyber security endpoint lead oversee aspects organizations cybersecurity strategy operations related endpoint security primary focus protecting companys endpoints including workstations laptops servers mobile devices connected devices cyber threats attacks play critical role ensuring confidentiality integrity availability endpoint systems data also driving continuous improvement organizations endpoint security posture key responsibilities endpoint security strategy leadership develop execute comprehensive endpoint security strategy aligned overall cybersecurity business objectivesprovide strategic leadership guidance endpoint security team fostering culture innovation continuous improvementcollaborate cybersecurity leaders executive management integrate endpoint security measures broader cybersecurity framework endpoint security architecture solutions define implement robust endpoint security architectures frameworks solutions protect organizations endpoints wide range threatsevaluate select endpoint security technologies tools products align organizations requirements industry best practices endpoint threat detection response establish manage advanced threat detection response capabilities endpoints including use behavioral analytics machine learning aidriven security solutionslead coordinate incident response efforts related endpoint security incidents minimizing impact facilitating rapid recovery endpoint security operations oversee daytoday management endpoint security operations including monitoring alerting reporting endpoint security events incidentsensure timely investigation resolution endpoint security issues vulnerabilities endpoint security governance compliance develop maintain endpoint security policies standards procedures ensure compliance industry regulations internal security requirementsmonitor assess endpoint security compliance implementing corrective actions necessary vendor management partnerships collaborate external vendors partners evaluate select implement endpoint security products servicesmaintain strong relationships industry peers security communities stay informed emerging threats best practices security awareness training promote support cybersecurity awareness programs focused educating employees endpoint security best practices potential risksprovide training staff endpoint security topics create securityaware workforce budgeting resource management prepare manage endpoint security budget ensuring optimal utilization resources costeffectiveness qualifications experience bachelors masters degree computer science cybersecurity information technology related fieldextensive experience typically years cybersecurity strong focus endpoint securityproven track record leading managing largescale endpoint security programsindepth knowledge endpoint security technologies including antivirus edr xdr application control dlp encryptionfamiliarity cybersecurity frameworks standards eg nist cis mitre attckexcellent leadership communication skills ability collaborate effectively crossfunctional teams executive management reg r beathchapman pte ltd licence,05-Sep-2023,Budgeting:Corrective Actions:Cybersecurity:Encryption:Endpoint Security:Incident Response:Security Awareness:Security Compliance:Security Operations:Strategic Leadership,"Vendor Management,Connected Devices,Strategic Leadership,Incident Response,Security Awareness,Cyber Security,Resource Management,Endpoint Security,Cyber Security Strategy,NIST Cybersecurity Framework (CSF),Machine Learning,Behavioral Analytics,Cyber Threat Intelligence,Threat Detection,Endpoint Detection And Response,Computer Science,Information Technology,Management,Innovation,Leadership,Operations,Investigation,Vulnerability,Budgeting,Communications,Governance,R (Programming Language)"
